name,latitude,longitude,geometry
clinique badr,33.594869700000004,-7.6410981,POINT (-7.6410981 33.594869700000004)
hôpital sidi othmane,33.5585424,-7.5733008,POINT (-7.5733008 33.5585424)
polyclinique cnss,33.54051499999999,-7.597635100000001,POINT (-7.597635100000001 33.54051499999999)
clinique abdelmoumen,33.5652215,-7.627531099999999,POINT (-7.627531099999999 33.5652215)
avicenne,33.55435059999999,-7.610911300000001,POINT (-7.610911300000001 33.55435059999999)
clinique bournazel,33.5761131,-7.548486500000001,POINT (-7.548486500000001 33.5761131)
clinique zarhoun,33.585036499999994,-7.6142471999999985,POINT (-7.6142471999999985 33.585036499999994)
clinique les princes,33.5878622,-7.6195697,POINT (-7.6195697 33.5878622)
clinique hamdani,33.57398669999999,-7.6307733,POINT (-7.6307733 33.57398669999999)
clinique hermitage,33.5688746,-7.6141718,POINT (-7.6141718 33.5688746)
clinique al qalb,33.584284,-7.650621399999999,POINT (-7.650621399999999 33.584284)
clinique kindi,33.5844776,-7.650757999999999,POINT (-7.650757999999999 33.5844776)
clinique elmouahidin,33.588085099999994,-7.5459223,POINT (-7.5459223 33.588085099999994)
clinique ain saba3,33.61239739999999,-7.543484900000001,POINT (-7.543484900000001 33.61239739999999)
clinique andalouss,33.5968647,-7.6545628,POINT (-7.6545628 33.5968647)
akdital clinique ain berja,33.58539460000001,-7.5964818,POINT (-7.5964818 33.58539460000001)
clinique firdaous,33.6050363,-7.519269200000003,POINT (-7.519269200000003 33.6050363)
clinique mutualiste cnops,33.592744800000006,-7.6247862,POINT (-7.6247862 33.592744800000006)
hospital cnss,33.610752100000006,-7.500803500000001,POINT (-7.500803500000001 33.610752100000006)
urgences,33.549182,-7.4852956,POINT (-7.4852956 33.549182)
clinical les fleurs,33.5815871,-7.6220232,POINT (-7.6220232 33.5815871)
hôpital prince héritier moulay el hassan,33.6046028,-7.634031800000001,POINT (-7.634031800000001 33.6046028)
polyclinique atlas,33.5901639,-7.6287525,POINT (-7.6287525 33.5901639)
clinique longchamps,33.581767199999994,-7.6608672,POINT (-7.6608672 33.581767199999994)
clinique ghandi,33.579757,-7.6570106,POINT (-7.6570106 33.579757)
hôpital privé international de casablanca,33.5819777,-7.6403102,POINT (-7.6403102 33.5819777)
clinique maghreb,33.58505749999999,-7.6427795,POINT (-7.6427795 33.58505749999999)
clinique al massira,33.5906505,-7.638654200000001,POINT (-7.638654200000001 33.5906505)
clinique les iris,33.588337499999994,-7.6364928,POINT (-7.6364928 33.588337499999994)
akdital oasis,33.56068079999999,-7.629328299999999,POINT (-7.629328299999999 33.56068079999999)
clinique racine,33.586981399999985,-7.636939600000001,POINT (-7.636939600000001 33.586981399999985)
clinique le parc,33.5636438,-7.6150157,POINT (-7.6150157 33.5636438)
clinique rachidi,33.59328709999999,-7.628012599999999,POINT (-7.628012599999999 33.59328709999999)
best way medical,33.57547339999999,-7.6378886,POINT (-7.6378886 33.57547339999999)
clinique orl beausejour,33.5686395,-7.6434901,POINT (-7.6434901 33.5686395)
clinique val d'anfa,33.5898915,-7.653113299999999,POINT (-7.653113299999999 33.5898915)
clinique attal,33.55864,-7.637683,POINT (-7.637683 33.55864)
clinique maarif,33.57604619999999,-7.635531300000001,POINT (-7.635531300000001 33.57604619999999)
hôpital privé de casablanca aîn sebaâ,33.6123849,-7.5301441,POINT (-7.5301441 33.6123849)
clinique yasmine,33.575818600000005,-7.6719778,POINT (-7.6719778 33.575818600000005)
centre hospitalier universitaire ibn rochd,33.57853783736076,-7.620658876855622,POINT (-7.620658876855622 33.57853783736076)
clinique dar salam,33.56247495921656,-7.618476445621427,POINT (-7.618476445621427 33.56247495921656)
polyclinique cnss ziraoui,33.59439337112966,-7.635563271517788,POINT (-7.635563271517788 33.59439337112966)
clinic lina,33.5198390807506,-7.651593535251406,POINT (-7.651593535251406 33.5198390807506)
clinique le littoral,33.581245921255054,-7.675180503735034,POINT (-7.675180503735034 33.581245921255054)
clinic guess,33.58104810313267,-7.675443551227193,POINT (-7.675443551227193 33.58104810313267)
clinique sidi othmane,33.55981519485563,-7.5615639477505505,POINT (-7.5615639477505505 33.55981519485563)
hopital 20 aout,33.574652934552425,-7.619653458168499,POINT (-7.619653458168499 33.574652934552425)
polyclinique de la sécurité sociale,33.57085276501952,-7.622950527578939,POINT (-7.622950527578939 33.57085276501952)
clinique el amine,33.57041568223584,-7.620489196179961,POINT (-7.620489196179961 33.57041568223584)
hôpital du cheikh khalifa ben zayd al-nahyan,33.55242937139909,-7.6683673842327,POINT (-7.6683673842327 33.55242937139909)
clinical abbadi,33.56966106189876,-7.661638730921235,POINT (-7.661638730921235 33.56966106189876)
clinique cil,33.569146679299365,-7.660837763378024,POINT (-7.660837763378024 33.569146679299365)
international clinic,33.56944737439043,-7.618755862439232,POINT (-7.618755862439232 33.56944737439043)
clinique riviera,33.56669850001627,-7.638882850027072,POINT (-7.638882850027072 33.56669850001627)
cinique al karim medecine physique,33.561652609656235,-7.617353722887663,POINT (-7.617353722887663 33.561652609656235)
cinique multidisciplinaire,33.56314485869003,-7.635495524635421,POINT (-7.635495524635421 33.56314485869003)
hopital universitaire de proximite,33.56261287876023,-7.630181007272668,POINT (-7.630181007272668 33.56261287876023)
clinique californie,33.546672268691346,-7.6308459270772016,POINT (-7.6308459270772016 33.546672268691346)
hôpital sekkat,33.54605773943877,-7.588622488077647,POINT (-7.588622488077647 33.54605773943877)
centre de santé derb el kheir,33.5498334343254,-7.591374791701641,POINT (-7.591374791701641 33.5498334343254)
polyclinique cnss sidi bernoussi,33.61074841298405,-7.500801741294186,POINT (-7.500801741294186 33.61074841298405)
clinique ain chock,33.54914320176087,-7.602540026227011,POINT (-7.602540026227011 33.54914320176087)
hôpital municipal sidi moumen tacharouk,33.55210972506478,-7.608269259633504,POINT (-7.608269259633504 33.55210972506478)
centre hospitalier préfectoral de ben m'sick,33.55233793198779,-7.577997816932463,POINT (-7.577997816932463 33.55233793198779)
polyclinique cnss hay hassani,33.56712676339928,-7.668455630399424,POINT (-7.668455630399424 33.56712676339928)
clinique adoha,33.59704415596668,-7.522044369876583,POINT (-7.522044369876583 33.59704415596668)
hôpital général de casablanca azhar-bernoussi,33.59923321543063,-7.483485369743223,POINT (-7.483485369743223 33.59923321543063)
clinique al amal,33.57255343106101,-7.553163115267273,POINT (-7.553163115267273 33.57255343106101)
clinique les crêtes,33.54951355000996,-7.62409200000114,POINT (-7.62409200000114 33.54951355000996)
clinique green town,33.49423164449106,-7.59618654174666,POINT (-7.59618654174666 33.49423164449106)
hopital d'errahma,33.53162339196622,-7.73267840139236,POINT (-7.73267840139236 33.53162339196622)
