origin_id,origin_name,district_id,district_name,latitude,longitude,distance_to_nearest_stop_m,stop_density,stop_density_1km,population,population_density,num_healthcare_facilities,healthcare_density_1km,distance_to_city_center_km,urban_ring,interaction_stop_pop_density,interaction_fac_pop,analysis_unit,accessibility_score,score_2sfca
0,clinique badr,,,33.594869700000004,-7.6410981,261.6504346519049,6.366197723675814,32.0,0.0,0.0,5.0,1.5915494309189535,3.5785591426164767,Inner,0.0,0.0,facility_proxy,0.38734939759036147,
1,hôpital sidi othmane,,,33.5585424,-7.5733008,99.29814520426386,14.00563499208679,30.0,0.0,0.0,2.0,0.6366197723675814,3.92914597945004,Inner,0.0,0.0,facility_proxy,0.655421686746988,
2,polyclinique cnss,,,33.54051499999999,-7.597635100000001,33.54295568428712,7.639437268410976,24.0,0.0,0.0,1.0,0.3183098861837907,3.996221320094053,Inner,0.0,0.0,facility_proxy,0.5060240963855421,
3,clinique abdelmoumen,,,33.5652215,-7.627531099999999,57.88468835322468,8.91267681314614,31.0,0.0,0.0,8.0,2.5464790894703255,1.8728865785861775,Inner,0.0,0.0,facility_proxy,0.7819277108433735,
4,avicenne,,,33.5543506,-7.610911300000001,95.6157941754354,3.819718634205488,15.0,0.0,0.0,4.0,1.2732395447351628,2.2671452319712873,Inner,0.0,0.0,facility_proxy,0.4590361445783132,
5,clinique bournazel,,,33.5761131,-7.548486500000001,233.22217087386448,5.092958178940651,16.0,0.0,0.0,2.0,0.6366197723675814,5.796276287381261,Inner,0.0,0.0,facility_proxy,0.25783132530120484,
6,clinique zarhoun,,,33.58503649999998,-7.6142471999999985,36.036897576179236,6.366197723675814,23.0,0.0,0.0,5.0,1.5915494309189535,1.1771906693547824,Inner,0.0,0.0,facility_proxy,0.6186746987951808,
7,clinique les princes,,,33.5878622,-7.6195697,145.10443740970345,7.639437268410976,30.0,0.0,0.0,7.0,2.228169203286535,1.6570497442411105,Inner,0.0,0.0,facility_proxy,0.5837349397590362,
8,clinique hamdani,,,33.57398669999999,-7.6307733,208.20198952418235,10.185916357881302,43.0,0.0,0.0,4.0,1.2732395447351628,1.8459837753079078,Inner,0.0,0.0,facility_proxy,0.5445783132530121,
9,clinique hermitage,,,33.5688746,-7.6141718,143.77895035641419,6.366197723675814,25.0,0.0,0.0,8.0,2.5464790894703255,0.7229947937104365,Inner,0.0,0.0,facility_proxy,0.5771084337349397,
10,clinique al qalb,,,33.584284,-7.6506213999999995,99.49342240676236,8.91267681314614,22.0,0.0,0.0,7.0,2.228169203286535,3.833223052882796,Inner,0.0,0.0,facility_proxy,0.6825301204819277,
11,clinique kindi,,,33.5844776,-7.650757999999999,192.078573838568,8.91267681314614,21.0,0.0,0.0,6.0,1.909859317102744,3.8513426089857234,Inner,0.0,0.0,facility_proxy,0.5469879518072289,
12,clinique elmouahidin,,,33.588085099999994,-7.5459223,112.0111204203469,3.819718634205488,10.0,0.0,0.0,2.0,0.6366197723675814,6.209473337999484,Inner,0.0,0.0,facility_proxy,0.3397590361445783,
13,clinique ain saba3,,,33.61239739999998,-7.543484900000001,189.45017428436907,5.092958178940651,12.0,0.0,0.0,1.0,0.3183098861837907,7.519512068326164,Inner,0.0,0.0,facility_proxy,0.25060240963855424,
14,clinique andalouss,,,33.5968647,-7.6545628,232.83153864103193,3.819718634205488,12.0,0.0,0.0,2.0,0.6366197723675814,4.733316636240087,Inner,0.0,0.0,facility_proxy,0.22048192771084335,
15,akdital clinique ain berja,,,33.58539460000001,-7.5964818,246.80344320275663,10.185916357881302,28.0,0.0,0.0,2.0,0.6366197723675814,1.7818776160909604,Inner,0.0,0.0,facility_proxy,0.42530120481927713,
16,clinique firdaous,,,33.6050363,-7.519269200000003,176.90044394179282,2.5464790894703255,13.0,0.0,0.0,2.0,0.6366197723675814,9.142426188188788,Middle,0.0,0.0,facility_proxy,0.23614457831325303,
17,clinique mutualiste cnops,,,33.592744800000006,-7.6247862,208.46674923941083,14.00563499208679,34.0,0.0,0.0,4.0,1.2732395447351628,2.3708284317501707,Inner,0.0,0.0,facility_proxy,0.6228915662650603,
18,hospital cnss,,,33.610752100000006,-7.500803500000001,63.905391598004286,11.459155902616464,21.0,0.0,0.0,3.0,0.954929658551372,10.969050736843704,Middle,0.0,0.0,facility_proxy,0.7174698795180724,
19,urgences,,,33.549182,-7.485295599999998,155.4390866188295,2.5464790894703255,6.0,0.0,0.0,1.0,0.3183098861837907,12.002937702217244,Middle,0.0,0.0,facility_proxy,0.2036144578313253,
20,clinical les fleurs,,,33.5815871,-7.6220232,94.6603276139558,12.732395447351628,39.0,0.0,0.0,6.0,1.909859317102744,1.277248964450555,Inner,0.0,0.0,facility_proxy,0.7807228915662652,
21,hôpital prince héritier moulay el hassan,,,33.6046028,-7.634031800000001,222.9054254971984,6.366197723675814,14.0,0.0,0.0,2.0,0.6366197723675814,3.94093804219006,Inner,0.0,0.0,facility_proxy,0.3060240963855422,
22,polyclinique atlas,,,33.5901639,-7.6287525,156.85546285208147,8.91267681314614,41.0,0.0,0.0,8.0,2.5464790894703255,2.3763838309633973,Inner,0.0,0.0,facility_proxy,0.6445783132530121,
23,clinique longchamps,,,33.58176719999999,-7.6608672,74.2939966934658,3.819718634205488,13.0,0.0,0.0,4.0,1.2732395447351628,4.701046314793485,Inner,0.0,0.0,facility_proxy,0.4915662650602409,
24,clinique ghandi,,,33.579757,-7.6570106000000004,271.46366723959255,8.91267681314614,18.0,0.0,0.0,4.0,1.2732395447351628,4.314346256469405,Inner,0.0,0.0,facility_proxy,0.4493975903614458,
25,hôpital privé international de casablanca,,,33.5819777,-7.6403102,256.35378699888423,8.91267681314614,36.0,0.0,0.0,8.0,2.5464790894703255,2.8427987209428585,Inner,0.0,0.0,facility_proxy,0.5650602409638554,
26,clinique maghreb,,,33.58505749999999,-7.6427795,212.1213142672267,14.00563499208679,29.0,0.0,0.0,7.0,2.228169203286535,3.1694423066579644,Inner,0.0,0.0,facility_proxy,0.6933734939759036,
