cluster_id,stop_name,Lines,mode,longitude,latitude
0,Av. Mohammed VI 1,"['L1', 'L3']",['bus'],-7.9917017,31.6486423
1,Av. Mohammed VI 2,"['L1', 'L3']",['bus'],-7.9925548,31.6446453
2,Av. Mohammed VI 3,"['L1', 'L3']",['bus'],-7.990222,31.6406688
3,Av. Mohammed VI 4,"['L1', 'L3']",['bus'],-7.9897622,31.6384561
4,Av. Mohammed VI 5,"['L1', 'L3']",['bus'],-7.9894464,31.6335877
5,Av. Mohammed VI 6,"['L1', 'L3']",['bus'],-7.9886061,31.6303711
6,Av. Mohammed VI 7,"['L1', 'L3']",['bus'],-7.9878494,31.6279925
7,Av. Mohammed VI 8,"['L1', 'L3']",['bus'],-7.9872148,31.6250468
8,Av. Mohammed VI 9,"['L1', 'L3']",['bus'],-7.9884986,31.6217208
9,Av. Mohammed VI 10,"['L1', 'L3']",['bus'],-7.9880539,31.6169754
10,Av. Mohammed VI 11,"['L1', 'L3']",['bus'],-7.9877966,31.6137462
11,Av. Mohammed VI 12,"['L1', 'L3']",['bus'],-7.9854679,31.61065
12,Av. Hassan II 1,"['L2', 'L4', 'L5']",['bus'],-8.0102921,31.6379071
13,Av. Hassan II 2,"['L2', 'L4', 'L5']",['bus'],-8.0031438,31.6373082
14,Av. Hassan II 3,"['L2', 'L4', 'L5']",['bus'],-7.9918646,31.6371113
15,Av. Hassan II 4,"['L2', 'L4', 'L5']",['bus'],-7.9851137,31.6381029
16,Av. Hassan II 5,"['L2', 'L4', 'L5']",['bus'],-7.9763501,31.6392007
17,Av. Hassan II 6,"['L2', 'L4', 'L5']",['bus'],-7.9687608,31.6394301
18,Av. Hassan II 7,"['L2', 'L4', 'L5']",['bus'],-7.9587377,31.6371475
19,Rte Casablanca 1,"['L6', 'L7']",['bus'],-8.0201749,31.6507425
20,Rte Casablanca 2,"['L6', 'L7']",['bus'],-8.0245386,31.6527031
21,Rte Casablanca 3,"['L6', 'L7']",['bus'],-8.0281148,31.6528667
22,Rte Casablanca 4,"['L6', 'L7']",['bus'],-8.0317007,31.6531151
23,Rte Casablanca 5,"['L6', 'L7']",['bus'],-8.0345286,31.6562659
24,Rte Casablanca 6,"['L6', 'L7']",['bus'],-8.0374611,31.6584529
25,Rte Casablanca 7,"['L6', 'L7']",['bus'],-8.0410764,31.6575002
26,Rte Casablanca 8,"['L6', 'L7']",['bus'],-8.0460926,31.6596432
27,Av. Menara 1,['L8'],['bus'],-7.9802384,31.6286024
28,Av. Menara 2,['L8'],['bus'],-7.9855021,31.626848
29,Av. Menara 3,['L8'],['bus'],-7.9884605,31.6261364
30,Av. Menara 4,['L8'],['bus'],-7.9921477,31.6263368
31,Av. Menara 5,['L8'],['bus'],-7.9939789,31.6248123
32,Av. Menara 6,['L8'],['bus'],-7.99769,31.6218019
33,Av. Menara 7,['L8'],['bus'],-8.0015765,31.6218899
34,Av. Menara 8,['L8'],['bus'],-8.0061296,31.6205968
35,Av. Menara 9,['L8'],['bus'],-8.0104599,31.617744
36,Av. Menara 10,['L8'],['bus'],-8.0138943,31.6166588
37,Av. Menara 11,['L8'],['bus'],-8.0173409,31.6152547
38,Av. Menara 12,['L8'],['bus'],-8.0191883,31.6151829
39,Rte Agadir 1,"['L10', 'L11']",['bus'],-7.9911484,31.6210384
40,Rte Agadir 2,"['L10', 'L11']",['bus'],-7.9928171,31.617842
41,Rte Agadir 3,"['L10', 'L11']",['bus'],-7.9943869,31.6124672
42,Rte Agadir 4,"['L10', 'L11']",['bus'],-7.996982,31.6108821
43,Rte Agadir 5,"['L10', 'L11']",['bus'],-7.9978027,31.606649
44,Rte Agadir 6,"['L10', 'L11']",['bus'],-7.9996768,31.6053421
45,Rte Agadir 7,"['L10', 'L11']",['bus'],-8.0016371,31.6009922
46,Rte Agadir 8,"['L10', 'L11']",['bus'],-8.0019863,31.596903
47,Rte Agadir 9,"['L10', 'L11']",['bus'],-8.004335,31.5962691
48,Rue Liberté 1,"['L2', 'L12']",['bus'],-8.0058094,31.6358125
49,Rue Liberté 2,"['L2', 'L12']",['bus'],-8.0030946,31.6366971
50,Rue Liberté 3,"['L2', 'L12']",['bus'],-8.0007282,31.6369326
51,Rue Liberté 4,"['L2', 'L12']",['bus'],-7.9973764,31.6374727
52,Rue Liberté 5,"['L2', 'L12']",['bus'],-7.9934563,31.6383374
53,Rue Liberté 6,"['L2', 'L12']",['bus'],-7.991713,31.6388167
54,Rue Liberté 7,"['L2', 'L12']",['bus'],-7.9872591,31.6386326
55,Rue Liberté 8,"['L2', 'L12']",['bus'],-7.9861458,31.6406021
56,Rue Liberté 9,"['L2', 'L12']",['bus'],-7.9844728,31.6413139
57,Rue Liberté 10,"['L2', 'L12']",['bus'],-7.9799001,31.6401064
58,Rue Liberté 11,"['L2', 'L12']",['bus'],-7.977796,31.6408254
59,Rue Liberté 12,"['L2', 'L12']",['bus'],-7.973812,31.6408818
60,Bd Zerktouni 1,"['L3', 'L16']",['bus'],-7.995272,31.6311447
61,Bd Zerktouni 2,"['L3', 'L16']",['bus'],-7.9923943,31.6314747
62,Bd Zerktouni 3,"['L3', 'L16']",['bus'],-7.9899198,31.6313469
63,Bd Zerktouni 4,"['L3', 'L16']",['bus'],-7.9867199,31.6333128
64,Bd Zerktouni 5,"['L3', 'L16']",['bus'],-7.9860889,31.6345003
65,Bd Zerktouni 6,"['L3', 'L16']",['bus'],-7.9824739,31.6346395
