cluster_id,stop_id,stop_key,stop_name,Lines,mode,latitude,longitude,x,y
0,cluster_0,cluster_0_casabus,112 Boulevard D'Anfa,"['L013', 'L050', 'L09E', 'L084']",casabus,33.5920589,-7.633954600000001,626755.8600041415,3717761.9033637475
1,cluster_1,cluster_1_casabus,112 Boulevard D'Anfa,"['L013', 'L050', 'L09E', 'L084']",casabus,33.59213689999999,-7.6335241,626795.6950723612,3717771.0794000123
2,cluster_2,cluster_2_casabus,4EME ARRONDISSEMENT,"['L604', 'L072', 'L067']",casabus,33.55712969999998,-7.572611299999999,632501.7495823893,3713965.6124318596
3,cluster_3,cluster_3_casabus,4EME ARRONDISSEMENT,"['L604', 'L072', 'L067']",casabus,33.5576585,-7.5734718999999995,632421.0481175119,3714023.147524013
4,cluster_4,cluster_4_casabus,ABATOIRS MUNICIPAUX,"['L055', 'L068']",casabus,33.549595300000014,-7.549733100000001,634637.355910561,3713159.6576198796
5,cluster_5,cluster_5_casabus,ABATOIRS MUNICIPAUX,"['L055', 'L068']",casabus,33.5497557,-7.549414,634666.7335324376,3713177.857966244
6,cluster_6,cluster_6_casabus,ABOUAB AL OULFA,"['L050', 'L051']",casabus,33.545315099999996,-7.706726800000002,620067.5389146932,3712492.1657866864
7,cluster_7,cluster_7_casabus,ABOUAB AL OULFA,"['L050', 'L051']",casabus,33.5457429,-7.7056403,620167.8240886522,3712540.8596561863
8,cluster_8,cluster_8_casabus,ABRAR MEDIOUNA,"['L312', 'L600']",casabus,33.470773850068646,-7.527509700059236,636824.7050979848,3704448.7411900167
9,cluster_9,cluster_9_casabus,ACADEMIE D'EDUCATION,"['L97B', 'L068', 'L013', 'L109']",casabus,33.56937380000001,-7.667661000000001,623660.3657940851,3715205.7708543777
10,cluster_10,cluster_10_casabus,ACADEMIE D'EDUCATION,"['L97B', 'L068', 'L013', 'L109']",casabus,33.569796,-7.6679979,623628.4924833467,3715252.1831253674
