facility,name,latitude,longitude,distance_to_nearest_stop_m,stop_density,stop_density_1km,population,population_density,num_healthcare_facilities,healthcare_density_1km,distance_to_city_center_km,urban_ring,local_edge_count_500m,local_edge_length_500m,nearest_node_degree,distance_to_nearest_node_m,interaction_stop_pop_density,interaction_fac_pop,interaction_built_stop,neighbor_accessibility_mean,accessibility_score
clinique badr,clinique badr,33.594869700000004,-7.6410981,261.6504346519049,6.366197723675814,32.0,1000.0,500.0,5.0,1.5915494309189535,5.338258907819774,Inner,10,2000.0,3.0,50.0,3183.098861837907,5000.0,12732.395447351628,0.5,0.3863095238095238
hôpital sidi othmane,hôpital sidi othmane,33.5585424,-7.5733008,99.29814520426386,14.00563499208679,30.0,1000.0,500.0,2.0,0.6366197723675814,2.2253607961516106,Inner,10,2000.0,3.0,50.0,7002.817496043395,2000.0,28011.26998417358,0.5,0.6523809523809523
polyclinique cnss,polyclinique cnss,33.54051499999999,-7.597635100000001,112.0111204203469,7.639437268410976,24.0,1000.0,500.0,1.0,0.3183098861837907,3.6859549711658337,Inner,10,2000.0,3.0,50.0,3819.718634205488,1000.0,15278.874536821952,0.5,0.4005952380952381
clinique abdelmoumen,clinique abdelmoumen,33.5652215,-7.627531099999999,74.2939966934658,8.91267681314614,31.0,1000.0,500.0,8.0,2.5464790894703255,3.6099161132547612,Inner,10,2000.0,3.0,50.0,4456.33840657307,8000.0,17825.35362629228,0.5,0.7595238095238095
avicenne,avicenne,33.5543506,-7.610911300000001,362.31301520690886,3.819718634205488,15.0,1000.0,500.0,4.0,1.2732395447351628,2.857307881590363,Inner,10,2000.0,3.0,50.0,1909.859317102744,4000.0,7639.437268410976,0.5,0.26071428571428573
clinique bournazel,clinique bournazel,33.5761131,-7.548486500000001,60.37909130562639,5.092958178940651,16.0,1000.0,500.0,2.0,0.6366197723675814,3.849487679725958,Inner,10,2000.0,3.0,50.0,2546.4790894703256,2000.0,10185.916357881302,0.5,0.4619047619047619
clinique zarhoun,clinique zarhoun,33.58503649999998,-7.6142471999999985,225.45455438695166,6.366197723675814,23.0,1000.0,500.0,5.0,1.5915494309189535,2.627043763259905,Inner,10,2000.0,3.0,50.0,3183.098861837907,5000.0,12732.395447351628,0.5,0.40773809523809523
clinique les princes,clinique les princes,33.5878622,-7.6195697,124.17255563640367,7.639437268410976,30.0,1000.0,500.0,7.0,2.228169203286535,3.211701956329752,Inner,10,2000.0,3.0,50.0,3819.718634205488,7000.0,15278.874536821952,0.5,0.6041666666666667
clinique hamdani,clinique hamdani,33.57398669999999,-7.6307733,371.2115728603548,10.185916357881302,43.0,1000.0,500.0,4.0,1.2732395447351628,3.8046499898598896,Inner,10,2000.0,3.0,50.0,5092.958178940651,4000.0,20371.832715762604,0.5,0.4642857142857143
clinique hermitage,clinique hermitage,33.5688746,-7.6141718,148.71304515914207,6.366197723675814,25.0,1000.0,500.0,8.0,2.5464790894703255,2.310417331941483,Inner,10,2000.0,3.0,50.0,3183.098861837907,8000.0,12732.395447351628,0.5,0.5666666666666667
أمراض القلب,أمراض القلب,33.584284,-7.6506213999999995,33.54295568428712,8.91267681314614,22.0,1000.0,500.0,7.0,2.228169203286535,5.7800680839249186,Inner,10,2000.0,3.0,50.0,4456.33840657307,7000.0,17825.35362629228,0.5,0.7684523809523809
clinique kindi,clinique kindi,33.5844776,-7.650757999999999,57.88468835322468,8.91267681314614,21.0,1000.0,500.0,6.0,1.909859317102744,5.797080984191385,Inner,10,2000.0,3.0,50.0,4456.33840657307,6000.0,17825.35362629228,0.5,0.7238095238095239
clinique elmouahidin,clinique elmouahidin,33.588085099999994,-7.5459223,95.6157941754354,3.819718634205488,10.0,1000.0,500.0,2.0,0.6366197723675814,4.398679211594229,Inner,10,2000.0,3.0,50.0,1909.859317102744,2000.0,7639.437268410976,0.5,0.3678571428571429
clinique ain saba3,clinique ain saba3,33.61239739999998,-7.543484900000001,233.22217087386448,5.092958178940651,12.0,1000.0,500.0,1.0,0.3183098861837907,6.121016407217417,Inner,10,2000.0,3.0,50.0,2546.4790894703256,1000.0,10185.916357881302,0.5,0.20297619047619048
clinique andalouss,clinique andalouss,33.5968647,-7.6545628,36.036897576179236,3.819718634205488,12.0,1000.0,500.0,2.0,0.6366197723675814,6.563173382450294,Inner,10,2000.0,3.0,50.0,1909.859317102744,2000.0,7639.437268410976,0.5,0.4357142857142857
akdital clinique ain berja,akdital clinique ain berja,33.58539460000001,-7.5964818,145.10443740970345,10.185916357881302,28.0,1000.0,500.0,2.0,0.6366197723675814,1.497831524269678,Inner,10,2000.0,3.0,50.0,5092.958178940651,2000.0,20371.832715762604,0.5,0.5178571428571429
clinique firdaous,clinique firdaous,33.6050363,-7.519269200000003,208.20198952418235,2.5464790894703255,13.0,1000.0,500.0,2.0,0.6366197723675814,7.442655397837387,Inner,10,2000.0,3.0,50.0,1273.2395447351628,2000.0,5092.958178940651,0.5,0.20476190476190476
-,-,33.592744800000006,-7.6247862,143.77895035641419,14.00563499208679,34.0,1000.0,500.0,4.0,1.2732395447351628,3.9103131351858074,Inner,10,2000.0,3.0,50.0,7002.817496043395,4000.0,28011.26998417358,0.5,0.6916666666666667
hospital cnss,hospital cnss,33.610752100000006,-7.500803500000001,99.49342240676236,11.459155902616464,21.0,1000.0,500.0,3.0,0.954929658551372,9.255002540414155,Middle,10,2000.0,3.0,50.0,5729.5779513082325,3000.0,22918.31180523293,0.5,0.6601190476190476
urgences,urgences,33.549182,-7.485295599999998,192.078573838568,2.5464790894703255,6.0,1000.0,500.0,1.0,0.3183098861837907,10.05832661496312,Middle,10,2000.0,3.0,50.0,1273.2395447351628,1000.0,5092.958178940651,0.5,0.1601190476190476
clinical les fleurs,clinical les fleurs,33.5815871,-7.6220232,189.45017428436907,12.732395447351628,39.0,1000.0,500.0,6.0,1.909859317102744,3.1355970615502766,Inner,10,2000.0,3.0,50.0,6366.197723675814,6000.0,25464.790894703256,0.5,0.6654761904761906
مستشفى مولاي الحسن,مستشفى مولاي الحسن,33.6046028,-7.634031800000001,232.83153864103193,6.366197723675814,14.0,1000.0,500.0,2.0,0.6366197723675814,5.390383972262144,Inner,10,2000.0,3.0,50.0,3183.098861837907,2000.0,12732.395447351628,0.5,0.2916666666666667
polyclinique atlas,polyclinique atlas,33.5901639,-7.6287525,246.80344320275663,8.91267681314614,41.0,1000.0,500.0,8.0,2.5464790894703255,4.080716339833723,Inner,10,2000.0,3.0,50.0,4456.33840657307,8000.0,17825.35362629228,0.5,0.5702380952380952
clinique longchamps,clinique longchamps,33.58176719999999,-7.6608672,176.90044394179282,3.819718634205488,13.0,1000.0,500.0,4.0,1.2732395447351628,6.6661956927936545,Inner,10,2000.0,3.0,50.0,1909.859317102744,4000.0,7639.437268410976,0.5,0.36071428571428577
clinique ghandi,clinique ghandi,33.579757,-7.6570106000000004,208.46674923941083,8.91267681314614,18.0,1000.0,500.0,4.0,1.2732395447351628,6.282169952637782,Inner,10,2000.0,3.0,50.0,4456.33840657307,4000.0,17825.35362629228,0.5,0.49523809523809526
hôpital privé international de casablanca,hôpital privé international de casablanca,33.5819777,-7.6403102,63.905391598004286,8.91267681314614,36.0,1000.0,500.0,8.0,2.5464790894703255,4.790671822343911,Inner,10,2000.0,3.0,50.0,4456.33840657307,8000.0,17825.35362629228,0.5,0.7738095238095237
clinique maghreb,clinique maghreb,33.58505749999999,-7.6427795,155.4390866188295,14.00563499208679,29.0,1000.0,500.0,7.0,2.228169203286535,5.093181534603051,Inner,10,2000.0,3.0,50.0,7002.817496043395,7000.0,28011.26998417358,0.5,0.7470238095238095
clinique al massira,clinique al massira,33.5906505,-7.638654200000001,94.6603276139558,14.00563499208679,29.0,1000.0,500.0,8.0,2.5464790894703255,4.934510883260781,Inner,10,2000.0,3.0,50.0,7002.817496043395,8000.0,28011.26998417358,0.5,0.8595238095238096
clinique les iris,clinique les iris,33.588337499999994,-7.6364928,222.9054254971984,15.278874536821952,34.0,1000.0,500.0,9.0,2.864788975654116,4.651686074611733,Inner,10,2000.0,3.0,50.0,7639.437268410976,9000.0,30557.749073643903,0.5,0.7648809523809523
akdital oasis,akdital oasis,33.56068079999999,-7.629328299999999,156.85546285208147,14.00563499208679,25.0,1000.0,500.0,7.0,2.228169203286535,3.9194544873322434,Inner,10,2000.0,3.0,50.0,7002.817496043395,7000.0,28011.26998417358,0.5,0.743452380952381
clinique racine,clinique racine,33.586981399999985,-7.6369396000000025,271.46366723959255,11.459155902616464,38.0,1000.0,500.0,8.0,2.5464790894703255,4.638326048415073,Inner,10,2000.0,3.0,50.0,5729.5779513082325,8000.0,22918.31180523293,0.5,0.644047619047619
clinique le parc,clinique le parc,33.5636438,-7.6150157,256.35378699888423,3.819718634205488,18.0,1000.0,500.0,7.0,2.228169203286535,2.564961093765347,Inner,10,2000.0,3.0,50.0,1909.859317102744,7000.0,7639.437268410976,0.5,0.36964285714285716
clinique rachidi,clinique rachidi,33.59328709999999,-7.628012599999999,212.1213142672267,15.278874536821952,39.0,1000.0,500.0,6.0,1.909859317102744,4.194118124609654,Inner,10,2000.0,3.0,50.0,7639.437268410976,6000.0,30557.749073643903,0.5,0.6845238095238095
best way medical,best way medical,33.57547339999999,-7.6378886,162.66145974401428,11.459155902616464,31.0,1000.0,500.0,6.0,1.909859317102744,4.4715719916171155,Inner,10,2000.0,3.0,50.0,5729.5779513082325,6000.0,22918.31180523293,0.5,0.6690476190476191
clinique orl beausejour,clinique orl beausejour,33.5686395,-7.6434901,133.10838937926525,7.639437268410976,31.0,1000.0,500.0,4.0,1.2732395447351628,5.008455780851738,Inner,10,2000.0,3.0,50.0,3819.718634205488,4000.0,15278.874536821952,0.5,0.5238095238095237
clinique val d'anfa,clinique val d'anfa,33.5898915,-7.653113299999999,419.9154782555286,3.819718634205488,15.0,1000.0,500.0,4.0,1.2732395447351628,6.164502103669833,Inner,10,2000.0,3.0,50.0,1909.859317102744,4000.0,7639.437268410976,0.5,0.24642857142857144
clinique attal,clinique attal,33.55864,-7.637683,131.83783772893312,8.91267681314614,26.0,1000.0,500.0,6.0,1.909859317102744,4.72554231857893,Inner,10,2000.0,3.0,50.0,4456.33840657307,6000.0,17825.35362629228,0.5,0.6202380952380953
clinique maarif,clinique maarif,33.57604619999999,-7.635531300000001,226.98235981035108,16.552114081557114,35.0,1000.0,500.0,4.0,1.2732395447351628,4.257544957772072,Inner,10,2000.0,3.0,50.0,8276.057040778558,4000.0,33104.22816311423,0.5,0.636904761904762
hôpital privé de casablanca aîn sebaâ,hôpital privé de casablanca aîn sebaâ,33.6123849,-7.5301441,45.79016750122377,5.092958178940651,10.0,1000.0,500.0,1.0,0.3183098861837907,7.044965774238872,Inner,10,2000.0,3.0,50.0,2546.4790894703256,1000.0,10185.916357881302,0.5,0.4208333333333333
clinique yasmine,clinique yasmine,33.5758186,-7.6719778,121.37608275307537,10.185916357881302,26.0,1000.0,500.0,3.0,0.954929658551372,7.634048129501263,Inner,10,2000.0,3.0,50.0,5092.958178940651,3000.0,20371.832715762604,0.5,0.5946428571428571
centre hospitalier universitaire ibn rochd,centre hospitalier universitaire ibn rochd,33.57853783736077,-7.620658876855622,290.4864613101231,16.552114081557114,34.0,1000.0,500.0,7.0,2.228169203286535,2.9272146252344258,Inner,10,2000.0,3.0,50.0,8276.057040778558,7000.0,33104.22816311423,0.5,0.674404761904762
clinique dar salam,clinique dar salam,33.56247495921656,-7.618476445621427,97.6590483620648,2.5464790894703255,15.0,1000.0,500.0,9.0,2.864788975654116,2.911187475089883,Inner,10,2000.0,3.0,50.0,1273.2395447351628,9000.0,5092.958178940651,0.5,0.5422619047619047
polyclinique cnss ziraoui,polyclinique cnss ziraoui,33.59439337112966,-7.635563271517788,265.73669784269583,14.00563499208679,34.0,1000.0,500.0,8.0,2.5464790894703255,4.859734799738537,Inner,10,2000.0,3.0,50.0,7002.817496043395,8000.0,28011.26998417358,0.5,0.6880952380952381
clinic lina,clinic lina,33.5198390807506,-7.651593535251406,73.87863416429092,7.639437268410976,17.0,1000.0,500.0,1.0,0.3183098861837907,8.23443489657649,Middle,10,2000.0,3.0,50.0,3819.718634205488,1000.0,15278.874536821952,0.5,0.46845238095238095
clinique le littoral,clinique le littoral,33.581245921255054,-7.675180503735034,49.84899993954341,3.819718634205488,11.0,1000.0,500.0,3.0,0.954929658551372,7.976444959970607,Inner,10,2000.0,3.0,50.0,1909.859317102744,3000.0,7639.437268410976,0.5,0.48035714285714287
clinic guess,clinic guess,33.58104810313267,-7.675443551227194,61.04182186390582,3.819718634205488,11.0,1000.0,500.0,3.0,0.954929658551372,7.998266432933853,Inner,10,2000.0,3.0,50.0,1909.859317102744,3000.0,7639.437268410976,0.5,0.46964285714285714
clinique sidi othmane,clinique sidi othmane,33.55981519485564,-7.5615639477505505,119.30075998561237,11.459155902616464,28.0,1000.0,500.0,1.0,0.3183098861837907,3.006895774269733,Inner,10,2000.0,3.0,50.0,5729.5779513082325,1000.0,22918.31180523293,0.5,0.5351190476190476
hopital 20 aout,hopital 20 aout,33.574652934552425,-7.619653458168501,182.05541489212604,11.459155902616464,33.0,1000.0,500.0,8.0,2.5464790894703255,2.776510604443247,Inner,10,2000.0,3.0,50.0,5729.5779513082325,8000.0,22918.31180523293,0.5,0.7154761904761905
polyclinique de la sécurité sociale,polyclinique de la sécurité sociale,33.57085276501952,-7.622950527578939,135.14664027071845,11.459155902616464,29.0,1000.0,500.0,8.0,2.5464790894703255,3.0873571824801322,Inner,10,2000.0,3.0,50.0,5729.5779513082325,8000.0,22918.31180523293,0.5,0.7619047619047619
clinique el amine,clinique el amine,33.57041568223584,-7.620489196179961,275.6962006107807,7.639437268410976,29.0,1000.0,500.0,9.0,2.864788975654116,2.8643217349356545,Inner,10,2000.0,3.0,50.0,3819.718634205488,9000.0,15278.874536821952,0.5,0.525595238095238
hôpital du cheikh khalifa ben zayd al-nahyan,hôpital du cheikh khalifa ben zayd al-nahyan,33.5524293713991,-7.6683673842327,101.13217970503558,3.819718634205488,10.0,1000.0,500.0,1.0,0.3183098861837907,7.645645599503064,Inner,10,2000.0,3.0,50.0,1909.859317102744,1000.0,7639.437268410976,0.5,0.2946428571428571
clinical abbadi,clinical abbadi,33.56966106189876,-7.661638730921235,88.84794691231868,7.639437268410976,25.0,1000.0,500.0,3.0,0.954929658551372,6.679518711858232,Inner,10,2000.0,3.0,50.0,3819.718634205488,3000.0,15278.874536821952,0.5,0.5505952380952381
clinique cil,clinique cil,33.56914667929937,-7.660837763378024,29.423127509353613,7.639437268410976,25.0,1000.0,500.0,3.0,0.954929658551372,6.608848258951367,Inner,10,2000.0,3.0,50.0,3819.718634205488,3000.0,15278.874536821952,0.5,0.6148809523809524
international clinic,international clinic,33.56944737439043,-7.618755862439232,83.87442382924212,3.819718634205488,28.0,1000.0,500.0,9.0,2.864788975654116,2.7182739730759686,Inner,10,2000.0,3.0,50.0,1909.859317102744,9000.0,7639.437268410976,0.5,0.6053571428571428
clinique riviera,clinique riviera,33.56669850001627,-7.638882850027072,168.64993589842933,6.366197723675814,35.0,1000.0,500.0,6.0,1.909859317102744,4.611309032682299,Inner,10,2000.0,3.0,50.0,3183.098861837907,6000.0,12732.395447351628,0.5,0.48095238095238096
cinique al karim medecine physique,cinique al karim medecine physique,33.56165260965624,-7.617353722887663,184.40535630139183,3.819718634205488,15.0,1000.0,500.0,6.0,1.909859317102744,2.8555627947187916,Inner,10,2000.0,3.0,50.0,1909.859317102744,6000.0,7639.437268410976,0.5,0.39285714285714285
cinique multidisciplinaire,cinique multidisciplinaire,33.56314485869004,-7.635495524635421,151.51439231638778,8.91267681314614,33.0,1000.0,500.0,8.0,2.5464790894703255,4.383281687316868,Inner,10,2000.0,3.0,50.0,4456.33840657307,8000.0,17825.35362629228,0.5,0.655952380952381
hopital universitaire de proximite,hopital universitaire de proximite,33.56261287876023,-7.630181007272668,153.23565000477055,14.00563499208679,35.0,1000.0,500.0,8.0,2.5464790894703255,3.924893681780144,Inner,10,2000.0,3.0,50.0,7002.817496043395,8000.0,28011.26998417358,0.5,0.7809523809523808
clinique californie,clinique californie,33.54667226869135,-7.6308459270772016,108.29465539149984,5.092958178940651,13.0,1000.0,500.0,2.0,0.6366197723675814,4.80731546888123,Inner,10,2000.0,3.0,50.0,2546.4790894703256,2000.0,10185.916357881302,0.5,0.3797619047619048
hôpital sekkat,hôpital sekkat,33.54605773943877,-7.588622488077647,369.55742869745325,10.185916357881302,35.0,1000.0,500.0,2.0,0.6366197723675814,3.0008040410888137,Inner,10,2000.0,3.0,50.0,5092.958178940651,2000.0,20371.832715762604,0.5,0.3821428571428572
centre de santé derb el kheir,centre de santé derb el kheir,33.5498334343254,-7.591374791701641,90.82407673335447,10.185916357881302,31.0,1000.0,500.0,2.0,0.6366197723675814,2.584250538225408,Inner,10,2000.0,3.0,50.0,5092.958178940651,2000.0,20371.832715762604,0.5,0.5892857142857142
polyclinique cnss sidi bernoussi,polyclinique cnss sidi bernoussi,33.61074841298406,-7.500801741294186,99.8796883456243,11.459155902616464,21.0,1000.0,500.0,3.0,0.954929658551372,9.254963910274576,Middle,10,2000.0,3.0,50.0,5729.5779513082325,3000.0,22918.31180523293,0.5,0.656547619047619
clinique ain chock,clinique ain chock,33.54914320176086,-7.602540026227011,31.172343176121327,10.185916357881302,21.0,1000.0,500.0,3.0,0.954929658551372,2.9080488270915965,Inner,10,2000.0,3.0,50.0,5092.958178940651,3000.0,20371.832715762604,0.5,0.7089285714285715
hôpital municipal sidi moumen tacharouk,hôpital municipal sidi moumen tacharouk,33.55210972506478,-7.608269259633504,136.8126095963912,6.366197723675814,17.0,1000.0,500.0,4.0,1.2732395447351628,2.891038731579299,Inner,10,2000.0,3.0,50.0,3183.098861837907,4000.0,12732.395447351628,0.5,0.4738095238095238
centre hospitalier préfectoral de ben m'sick,centre hospitalier préfectoral de ben m'sick,33.55233793198779,-7.577997816932463,77.72708771555763,5.092958178940651,35.0,1000.0,500.0,2.0,0.6366197723675814,2.549806694615892,Inner,10,2000.0,3.0,50.0,2546.4790894703256,2000.0,10185.916357881302,0.5,0.4369047619047619
polyclinique cnss hay hassani,polyclinique cnss hay hassani,33.56712676339928,-7.668455630399424,79.3407536332444,11.459155902616464,35.0,1000.0,500.0,3.0,0.954929658551372,7.33150407063965,Inner,10,2000.0,3.0,50.0,5729.5779513082325,3000.0,22918.31180523293,0.5,0.6958333333333333
clinique adoha,clinique adoha,33.59704415596668,-7.522044369876583,192.05535647059315,1.2732395447351628,18.0,1000.0,500.0,2.0,0.6366197723675814,6.826329271797708,Inner,10,2000.0,3.0,50.0,636.6197723675814,2000.0,2546.4790894703256,0.5,0.19642857142857142
