cluster_id,stop_name,Lines,mode,longitude,latitude
0,112 Boulevard D'Anfa,"['L013', 'L050', 'L09E', 'L084']",['casabus'],-7.633954600000001,33.5920589
1,112 Boulevard D'Anfa,"['L013', 'L050', 'L09E', 'L084']",['casabus'],-7.6335241,33.59213689999999
2,4EME ARRONDISSEMENT,"['L604', 'L072', 'L067']",['casabus'],-7.572611299999999,33.55712969999998
3,4EME ARRONDISSEMENT,"['L604', 'L072', 'L067']",['casabus'],-7.573471899999999,33.5576585
4,ABATOIRS MUNICIPAUX,"['L055', 'L068']",['casabus'],-7.549733100000001,33.549595300000014
5,ABATOIRS MUNICIPAUX,"['L055', 'L068']",['casabus'],-7.549414,33.5497557
6,ABOUAB AL OULFA,"['L050', 'L051']",['casabus'],-7.706726800000002,33.5453151
7,ABOUAB AL OULFA,"['L050', 'L051']",['casabus'],-7.7056403,33.5457429
8,ABRAR MEDIOUNA,"['L312', 'L600']",['casabus'],-7.527509700059236,33.470773850068646
9,ACADEMIE D'EDUCATION,"['L97B', 'L068', 'L013', 'L109']",['casabus'],-7.667661000000001,33.56937380000001
10,ACADEMIE D'EDUCATION,"['L97B', 'L068', 'L013', 'L109']",['casabus'],-7.6679979,33.569796
11,ACCES PLAGE N13,['L005'],['casabus'],-7.6897968,33.58446339999999
12,ACCES PLAGE N13,['L005'],['casabus'],-7.689253700000001,33.58497520000001
13,AEROPORT ANFA,"['L072', 'L109']",['casabus'],-7.652416900000001,33.5660598
14,AEROPORT TIT MELLIL,"['L902', 'L904']",['casabus'],-7.467708400000001,33.6026176
15,AEROPORT TIT MELLIL,"['L902', 'L904']",['casabus'],-7.4682084,33.60272869999999
16,AEROPORT TIT MELLIL 2,['L904'],['casabus'],-7.471304049914195,33.59511965002129
17,AGENCE BANQUAIRE AZHAR,['L082'],['casabus'],-7.483252800000001,33.6021263
18,AGENCE BANQUAIRE AZHAR,['L082'],['casabus'],-7.4828351,33.60241049999999
19,AIN ABBOU,['L903'],['casabus'],-7.376069300026374,33.5803387500408
20,AIN DIAB,['L005'],['casabus'],-7.676855,33.591878099999995
21,AIN DIAB,['L005'],['casabus'],-7.676270299999999,33.591935
22,AIN GUEDDID,['L301'],['casabus'],-7.734409749952729,33.55205325005287
23,AIN HARROUDA CENTRE,['L800'],['casabus'],-7.4552827000000015,33.63416379999999
24,AIN HARROUDA CENTRE,['L800'],['casabus'],-7.4558809,33.634218300000015
25,AL ADARISSA,"['L043', 'L079', 'L064']",['casabus'],-7.540804699969264,33.58065705000965
26,AL ARSA MEDIOUNA,['L312'],['casabus'],-7.522487800000001,33.42977830000001
27,AL ARSA MEDIOUNA,['L312'],['casabus'],-7.522806900000001,33.42983559999999
28,AL ARSAT BOUSKOURA,['L307'],['casabus'],-7.664317500011236,33.47924750000789
29,AL AZHARI II,"['L068', 'L109']",['casabus'],-7.6833362,33.548072899999994
30,AL GHOFRANE,['L604'],['casabus'],-7.525086150043863,33.521858350009175
31,AL HOUDA,['L606'],['casabus'],-7.525586400000001,33.5856727
32,AL HOUDA,['L606'],['casabus'],-7.525398999999999,33.5860812
33,AL KHALIL,['L006'],['casabus'],-7.598769599923832,33.5478094000177
34,AL MADINA LJADIDA1,['L065'],['casabus'],-7.533223899999999,33.5550768
35,AL MADINA LJADIDA1,['L065'],['casabus'],-7.533008500000001,33.5554624
36,AL MASSIRA 1 DEROUA,['L312'],['casabus'],-7.534330300000001,33.400864600000006
37,AL WATTASSINE,"['L019', 'L005']",['casabus'],-7.7048607,33.55167269999999
38,AL WATTASSINE,"['L019', 'L005']",['casabus'],-7.703944,33.5520617
39,ALLEE DES CITRONNIERS,['L608'],['casabus'],-7.528091949979511,33.61300570000492
40,ALLEE DES EUCALYBTUS,['L023'],['casabus'],-7.5419354,33.6105241
41,ALLEE DES EUCALYBTUS,['L023'],['casabus'],-7.541652000000001,33.6109583
42,ALLEE DES MIMOSAS,"['L023', 'L608']",['casabus'],-7.526871399938705,33.60583790003966
43,ALLEE LES JARDINS,['L900'],['casabus'],-7.54039589990396,33.61887445005124
44,AMGALA 1,['L065'],['casabus'],-7.4999219,33.6168433
45,AMGALA1,['L065'],['casabus'],-7.5002358,33.6169522
46,ANAPEC SIDI MOUMEN,"['L043', 'L32D', 'L065']",['casabus'],-7.543532550056246,33.580832950014525
47,ANGLE ALLEE DES CYPRES,"['L033', 'L082']",['casabus'],-7.546747900105759,33.60389285004351
48,ANGLE AVENUE MEKNES,"['L006', 'L068']",['casabus'],-7.593080500000001,33.5390181
49,ANGLE AVENUE MEKNES,"['L006', 'L068']",['casabus'],-7.5927794,33.5391718
50,ANGLE BD ANFA/BDZERKTOUNI,"['L060', 'L038', 'L067']",['casabus'],-7.634900350064792,33.58984225006136
51,ANGLE BD BALTI BEN MEKKI,"['L023', 'L900']",['casabus'],-7.5812864,33.60330330000001
52,ANGLE BD BALTI BEN MEKKI,"['L023', 'L900']",['casabus'],-7.580425099999999,33.60342940000001
53,ANGLE BD IFNI,"['L120', 'L062']",['casabus'],-7.597297800000001,33.5840948
54,ANGLE BD STENDAL / GHANDI,"['L063', 'L051']",['casabus'],-7.637222999989798,33.56608030007644
55,ANGLE BD TAHIRI EL BEKAY,['L900'],['casabus'],-7.551508100000001,33.6156539
56,ANGLE BD TAHIRI EL BEKAY,['L900'],['casabus'],-7.5517579,33.61600909999999
57,ANGLE BOULEVARD ABOU REGREG,"['L143', 'L050']",['casabus'],-7.676654,33.56582220000001
58,ANGLE BOULEVARD ABOU REGREG,"['L143', 'L050']",['casabus'],-7.6768778,33.567038700000005
59,ANGLE BOULEVARD AL BINA,['L065'],['casabus'],-7.50514325001057,33.625116850001234
60,ANGLE BOULEVARD AL HOUCEIMA,['L107'],['casabus'],-7.616644299999999,33.54975
61,ANGLE BOULEVARD AL HOUCEIMA,['L107'],['casabus'],-7.6159074,33.550292
62,ANGLE BOULEVARD C AIN SEBAA,['L900'],['casabus'],-7.5259892,33.6227809
63,ANGLE BOULEVARD C AIN SEBAA,['L900'],['casabus'],-7.5264418,33.62310179999999
64,ANGLE BOULEVARD IFNI,"['L120', 'L062']",['casabus'],-7.5974301,33.584354299999994
65,ANGLE BOULEVARD MAADAN,['L900'],['casabus'],-7.50791834997339,33.634003150006855
66,ANGLE BOULEVARD RAMALLAH,['L022'],['casabus'],-7.613565200000001,33.533309
67,ANGLE BOULEVARD RAMALLAH,['L022'],['casabus'],-7.612790200000001,33.5339624
68,ANGLE BOULEVARD TAH/ MOHAMED6,['L006'],['casabus'],-7.576947100000002,33.5354271
69,ANGLE CHEMIN DES PIVOINES,['L065'],['casabus'],-7.54579115008201,33.58894030006734
70,ANGLE MOHAMED 6/11 JANVIER,['L906'],['casabus'],-7.365999249915719,33.697507150033694
71,ANGLE N9 / P3015,['L120'],['casabus'],-7.498043100000001,33.5109808
72,ANGLE N9 / P3015,['L120'],['casabus'],-7.497619100000002,33.51110740000001
73,ANGLE N9 / P3016,['L120'],['casabus'],-7.4946249,33.527964399999995
74,ANGLE N9 / P3016,['L120'],['casabus'],-7.4943453,33.52817579999999
75,ANGLE OUED DAHAB / AL JOULANE,"['L063', 'L064', 'L067']",['casabus'],-7.564226100000001,33.5461329
76,ANGLE OUED DAHAB / AL JOULANE,"['L063', 'L064', 'L067']",['casabus'],-7.564309,33.546548
77,ANGLE POMME D'OR,['L107'],['casabus'],-7.62019370000748,33.54971070000171
78,ANGLE ROUTE N1/P3032,['L306'],['casabus'],-7.705281399951264,33.509078550011765
79,ANGLE RUE BEN LARBI,"['L97B', 'L013', 'L050', 'L09E']",['casabus'],-7.6541056,33.579653699999994
80,ANGLE RUE BEN LARBI,"['L97B', 'L013', 'L050', 'L09E']",['casabus'],-7.6539647,33.5799482
81,ANGLE RUE DE DAX,"['L023', 'L900']",['casabus'],-7.589352449957288,33.59983000004079
82,ANGLE RUE DE FLORENCE,"['L056', 'L040', 'L090']",['casabus'],-7.6121334,33.58351439999999
83,ANGLE RUE DE FLORENCE,"['L056', 'L040', 'L090']",['casabus'],-7.612449600000002,33.58366909999999
84,ANGLE RUE DE LA VICTOIRE,"['L023', 'L900']",['casabus'],-7.585566099966999,33.601405400100845
85,ANGLE RUE ENNAKHIL,['L007'],['casabus'],-7.6440311,33.5533734
86,ANGLE RUE ENNAKHIL,"['L306', 'L007', 'L051']",['casabus'],-7.644282700000001,33.5537971
87,ANGLE RUE MAAMOURA,"['L023', 'L900']",['casabus'],-7.575439049963113,33.605585300018824
88,ANGLE RUE RIF,['L906'],['casabus'],-7.392924550024478,33.699105750030505
89,ANGLE RUE SOURZAC,"['L033', 'L139', 'L082']",['casabus'],-7.581116750059907,33.5983504000264
90,ANGLE RUE TAMASKIN,"['L019', 'L020', 'L97B', 'L143', 'L013', 'L068', 'L050', 'L09E', 'L063']",['casabus'],-7.662546499999999,33.575194999999994
91,ANGLE RUE TIZNIT,"['L32D', 'L800', 'L904', 'L900']",['casabus'],-7.402870549928768,33.68499205002686
92,ANNEXE FARAH SALAM,['L084'],['casabus'],-7.691138500000002,33.5400886
93,ANNEXE FARAH SALAM,['L084'],['casabus'],-7.6910331,33.5403764
94,AQUAPARC,['L301'],['casabus'],-7.786701,33.523139
95,AQUAPARC A,['L301'],['casabus'],-7.785992200000001,33.523285099999995
96,ARCHIVE I,"['L031', 'L007']",['casabus'],-7.655987150039139,33.51293470002353
97,ARRET BATA,"['L039', 'L055', 'L090', 'L043']",['casabus'],-7.577508450096609,33.58531180002482
98,ARRET BEAULIEU,"['L033', 'L082']",['casabus'],-7.539128349989229,33.60440765000089
99,ARRET BENJDIA,"['L056', 'L040', 'L090']",['casabus'],-7.607130549955814,33.584945050006525
100,ARRET BRADAA,"['L905', 'L900']",['casabus'],-7.370539149984997,33.699930300067294
101,ARRET CARDO,['L312'],['casabus'],-7.524356599935122,33.424691450061125
102,ARRET CASCADE 1,['L902'],['casabus'],-7.408257800022018,33.64351395000357
103,ARRET CHAABI 1,['L312'],['casabus'],-7.544577600000002,33.3717377
104,ARRET CHAABI 1,['L312'],['casabus'],-7.5446699000000015,33.372041399999986
105,ARRET CHTAIBA,"['L120', 'L062']",['casabus'],-7.5713302,33.565383700000005
106,ARRET CMC,['L007'],['casabus'],-7.6274868,33.58779650000001
107,ARRET CMC,['L007'],['casabus'],-7.6263578,33.5891961
108,ARRET EL BIR,['L312'],['casabus'],-7.6021358,33.39248049999999
109,ARRET EL BIR,['L312'],['casabus'],-7.6019622,33.39278479999999
110,Avenue Hassan II,"['L006', 'T1', 'L056', 'L040']","['tram', 'casabus']",-7.623026599970159,33.584097100008925
111,ARRET ISCAE,['L310'],['casabus'],-7.6357358,33.526762899999994
112,ARRET KM15,['L800'],['casabus'],-7.471064799999999,33.6323361
113,ARRET KM15,['L800'],['casabus'],-7.470185400000001,33.63238419999998
114,ARRET KOREA,"['L079', 'L109']",['casabus'],-7.595775400000001,33.562237
115,ARRET KOREA,"['L079', 'L109']",['casabus'],-7.5959144,33.562522
116,ARRET L'AUBERGE 1,['L900'],['casabus'],-7.476517399877146,33.65139755005223
117,ARRET LAARJA,"['L800', 'L904']",['casabus'],-7.438649800014683,33.659777050045946
118,ARRET LAMJADBA 1,['L903'],['casabus'],-7.360776199975877,33.61422290000636
119,ARRET LFARFARA,"['L050', 'L051']",['casabus'],-7.710343999990191,33.54317180010094
120,ARRET MDAKRA,"['L039', 'L043']",['casabus'],-7.562578499937421,33.5816649000151
121,ARRET METRO,"['L107', 'L031', 'L007', 'L300']",['casabus'],-7.643208499999999,33.5383836
122,ARRET PALMERIE 1,['L309'],['casabus'],-7.60060200003836,33.48654615000471
123,ARRET PERLA,['L312'],['casabus'],-7.56083989994369,33.39254325000884
124,ARRET RACHAD,"['L038', 'L97B', 'L097', 'L143', 'L067', 'L051', 'L060', 'L022', 'L063']",['casabus'],-7.609295500025493,33.56646115009423
125,ARRET TADLA,['L907'],['casabus'],-7.392106699999999,33.6890681
126,ARRET TADLA,['L907'],['casabus'],-7.3917918,33.6891901
127,ARRET TAJ 1,['L312'],['casabus'],-7.558438599962487,33.38622925000536
128,TIKIOUIN,['L039'],['casabus'],-7.553320100090683,33.57796190001938
129,ARRET TIYANA 1,['L312'],['casabus'],-7.519707799977578,33.44406045001352
130,ARRONDISSEMENT GHANDI,"['L019', 'L020', 'L143', 'L068', 'L063']",['casabus'],-7.6518262500335315,33.57550100000483
131,ARRONDISSEMENT LAYMOUNE,"['L97B', 'L013']",['casabus'],-7.6685707,33.5377127
132,ARRONDISSEMENT LAYMOUNE,"['L97B', 'L013']",['casabus'],-7.6680424,33.53797410000001
133,ARRONDISSEMENT SALAM II,['L608'],['casabus'],-7.480071750057821,33.58486660001235
134,ASSOCIATION BAYTI,['L800'],['casabus'],-7.4908789,33.61983020000001
135,ASSOCIATION BAYTI,['L800'],['casabus'],-7.4912112,33.6199373
136,ATLANTA SPORT,"['L09E', 'L109']",['casabus'],-7.681533949991192,33.53962610000262
137,AUDA ANFA,['L109'],['casabus'],-7.6699889,33.561412
138,AUTOROUTE A7,['L309'],['casabus'],-7.629021200000001,33.48202169999998
139,AUTOROUTE A7,['L309'],['casabus'],-7.6288971,33.482390800000005
140,AV 10 MARS,['L056'],['casabus'],-7.5571919,33.555367299999986
141,AV 10 MARS,['L056'],['casabus'],-7.5571008,33.5556457
142,AVENUE 6 NOVEMBRE 1975,"['L039', 'L097', 'L97B']",['casabus'],-7.587151800000001,33.55170379999999
143,AVENUE 6 NOVEMBRE 1975,"['L039', 'L097', 'L97B']",['casabus'],-7.5871501,33.552
144,AVENUE ABOU BAKR EL KADIRI,"['L107', 'L300']",['casabus'],-7.649507899983227,33.52759010000253
145,AVENUE DES FAR,"['L055', 'L033', 'L023', 'L082', 'L011', 'L120', 'L043', 'L062', 'L139']",['casabus'],-7.613134100000001,33.5968
146,AVENUE HACHMI FILALI,['L309'],['casabus'],-7.6166775,33.524362199999985
147,AVENUE HACHMI FILALI,['L309'],['casabus'],-7.617004100000001,33.524488299999994
148,AVENUE JOUDAR,['L065'],['casabus'],-7.525561800069062,33.56139315004013
149,AVENUE MOHAMED BOUZIANE,"['L039', 'L120', 'L079']",['casabus'],-7.556696849908918,33.563909450021185
150,AVENUE PASTEUR,"['L033', 'L023', 'L082', 'L900', 'L139']",['casabus'],-7.6019597,33.5959919
151,AVENUE PASTEUR,"['L033', 'L023', 'L082', 'L900', 'L139']",['casabus'],-7.602487700000001,33.596227
