name,latitude,longitude,geometry
Hôpital Ibn Tofail,31.6348366,-7.9920499,POINT (-7.9920499 31.6348366)
Hôpital Mohammed VI,31.6475502,-8.0153607,POINT (-8.0153607 31.6475502)
Clinique Internationale de Marrakech,31.6392188,-7.9812398,POINT (-7.9812398 31.6392188)
Polyclinique du Sud,31.6224531,-7.9780784,POINT (-7.9780784 31.6224531)
Clinique Les Deux Palmiers,31.6307315,-7.9929212,POINT (-7.9929212 31.6307315)
Hôpital Al Antaki,31.6250118,-8.0011679,POINT (-8.0011679 31.6250118)
Clinique Assila,31.6416592,-7.975207,POINT (-7.975207 31.6416592)
Clinique Dar Salam,31.6197993,-7.9820304,POINT (-7.9820304 31.6197993)
Hôpital Militaire Avicenne,31.6506226,-7.9939644,POINT (-7.9939644 31.6506226)
Polyclinique CNSS Marrakech,31.6316566,-7.970761,POINT (-7.970761 31.6316566)
Clinique du Palmier,31.6374349,-8.0033112,POINT (-8.0033112 31.6374349)
Centre de Santé Daoudiate,31.6402415,-8.0218671,POINT (-8.0218671 31.6402415)
Clinique Al Kawtar,31.6261433,-7.9943804,POINT (-7.9943804 31.6261433)
Centre de Santé Médina,31.6253565,-7.9891197,POINT (-7.9891197 31.6253565)
Clinique Yasmine,31.618785,-7.9694776,POINT (-7.9694776 31.618785)
Hôpital Privé de Marrakech,31.6519428,-7.9798216,POINT (-7.9798216 31.6519428)
Centre de Santé Gueliz,31.6391174,-7.9894613,POINT (-7.9894613 31.6391174)
Clinique Al Farabi,31.6137712,-8.0030878,POINT (-8.0030878 31.6137712)
Centre de Santé Sidi Youssef Ben Ali,31.6108764,-7.9748889,POINT (-7.9748889 31.6108764)
Clinique La Rose,31.6488702,-7.9640359,POINT (-7.9640359 31.6488702)
Centre de Santé Massira,31.6068274,-8.0150251,POINT (-8.0150251 31.6068274)
Clinique El Wahda,31.6306674,-7.9724637,POINT (-7.9724637 31.6306674)
Clinique Marjane,31.6552788,-8.0072033,POINT (-8.0072033 31.6552788)
Centre de Santé Hay Hassani,31.621006,-8.0280322,POINT (-8.0280322 31.621006)
Clinique Atlas,31.6409141,-7.957511,POINT (-7.957511 31.6409141)
Centre de Santé Amerchich,31.6115211,-7.990643,POINT (-7.990643 31.6115211)
Clinique Najmat Al Maghrib,31.6275019,-8.0107801,POINT (-8.0107801 31.6275019)
Polyclinique Al Amal,31.6453882,-8.0082452,POINT (-8.0082452 31.6453882)
Centre de Santé Targa,31.6547268,-8.0187252,POINT (-8.0187252 31.6547268)
Clinique Ryad,31.6291804,-7.9641233,POINT (-7.9641233 31.6291804)
