origin_id,x,y,population,district,commune,commune_type_encoded,population_worldpop,pop_mean_pixel,pop_max_pixel,area_km2,pop_density_km2,district_id,district_name,chosen_stop_key,walk_dist_to_stop_m,walk_time_to_stop_min,nearest_facility_id,total_travel_time_min,accessibility_score,num_facilities_reachable_30min,num_facilities_reachable_60min,is_unreachable,score_2sfca,tt_slow,tt_base,tt_fast,is_access_threshold
0,650955.569217485,3727033.9128837255,22.828148,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,938.5207,15.642012,80,92.59953,0.0,0,0,False,9.435122e-10,106.61999,92.59953,83.25256,0
1,650879.7622333652,3726940.287520069,20.102985,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,996.9917,16.616528,80,93.57405,0.0,0,0,False,7.71028e-10,107.594505,93.57405,84.22708,0
2,650957.0256880808,3726941.504968934,21.610985,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,1023.5003,17.058338,80,94.01586,0.0,0,0,False,7.031058e-10,108.036316,94.01586,84.66889,0
3,651034.2891551942,3726942.723041547,25.163132,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,1055.0139,17.583565,80,94.541084,0.0,0,0,False,6.2974775e-10,108.56155,94.541084,85.194115,0
4,650726.6895617194,3726845.446634718,13.240687,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,1051.9069,17.53178,80,94.4893,0.0,0,0,False,6.366434e-10,108.50976,94.4893,85.142334,0
5,650803.9537376578,3726846.662821279,13.270817,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,1065.9205,17.765343,80,94.72286,0.0,0,0,False,6.060981e-10,108.74332,94.72286,85.37589,0
6,650881.2179259821,3726847.8796315785,21.385897,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,1085.2678,18.087797,80,95.04532,0.0,0,0,False,5.6620814e-10,109.06577,95.04532,85.69835,0
7,650958.482126699,3726849.0970656183,21.482498,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1010_casabus,969.8798,16.164663,80,102.79472,0.0,0,0,False,1.0305107e-10,119.262215,102.79472,91.8164,0
8,651035.7463398145,3726850.3151233997,23.642797,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1010_casabus,948.9256,15.815426,80,102.44549,0.0,0,0,False,1.1160316e-10,118.91298,102.44549,91.46716,0
9,651113.0105653349,3726851.5338049224,24.89926,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_822_casabus,974.2954,16.238256,80,102.13726,0.0,0,0,False,1.1971198e-10,118.32205,102.13726,91.21697,0
10,650573.6139237009,3726750.608315021,13.825752,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,1133.0797,18.884663,80,95.842186,0.0,0,0,False,4.7805937e-10,109.86264,95.842186,86.49522,0
11,650650.878820867,3726751.8232393083,13.161816,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,1135.6346,18.927244,80,95.884766,0.0,0,0,False,4.737373e-10,109.90522,95.884766,86.537796,0
12,650728.1437304078,3726753.038787328,12.770908,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1271_casabus,1143.4175,19.05696,80,96.01448,0.0,0,0,False,4.6079865e-10,110.034935,96.01448,86.66751,0
13,650805.408652329,3726754.254959079,13.346989,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_875_casabus,824.261,13.737683,80,102.20098,0.0,0,0,False,1.179907e-10,118.8641,102.20098,91.010315,0
14,650882.6735866372,3726755.4717545602,20.506208,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1010_casabus,911.48663,15.191444,80,101.8215,0.0,0,0,False,1.2860217e-10,118.288994,101.8215,90.84318,0
15,650959.938533339,3726756.6891737743,22.718054,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1010_casabus,882.4152,14.70692,80,101.33698,0.0,0,0,False,1.4348304e-10,117.80447,101.33698,90.35866,0
16,651037.2034924405,3726757.9072167226,24.15345,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1010_casabus,859.33057,14.322176,80,100.95224,0.0,0,0,False,1.5645879e-10,117.41972,100.95224,89.97391,0
17,651114.4684639478,3726759.125883404,25.058767,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_1010_casabus,842.72485,14.045414,80,100.675476,0.0,0,0,False,1.6647889e-10,117.003975,100.675476,89.69715,0
18,651191.7334478677,3726760.345173822,27.067595,Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536,32,Tit Mellil,cluster_822_casabus,855.98615,14.266436,80,100.165436,0.0,0,0,False,1.8657305e-10,116.350235,100.165436,89.37558,0
19,643003.0925490917,3726542.1649261336,27.879377,Ain Harrouda,Ain Harrouda,1,188543.15625,50.21122669773635,128.95843505859375,26.823303998101213,7029.080245421918,6,Ain Harrouda,cluster_913_casabus,1037.4778,17.291296,13,66.466675,0.0,0,0,False,1.0070525e-07,73.28643,66.466675,61.92017,0
20,643080.3570101999,3726543.318714715,26.756084,Ain Harrouda,Ain Harrouda,1,188543.15625,50.21122669773635,128.95843505859375,26.823303998101213,7029.080245421918,6,Ain Harrouda,cluster_913_casabus,1062.0111,17.700184,13,66.875565,0.0,0,0,False,9.460155e-08,73.69532,66.875565,62.32906,0
