name,latitude,longitude,nearest_stop_dist_m,nearest_stop_name,nearest_stop_mode,stops_within_500m,unique_lines_500m,accessibility_score,access_tier
Clinique Badr,33.594869700000004,-7.6410981,261.6504346519049,MOSQUEE BADR,casabus,5,3,34.13488505430451,Moderate
Hôpital Sidi Othmane,33.5585424,-7.5733008,99.2981452042809,4EME ARRONDISSEMENT,casabus,11,9,74.7712515627502,Good
Polyclinique CNSS,33.54051499999999,-7.597635100000001,112.0111204203469,POLYCLINIQUE CNSS INARA,casabus,6,8,57.596565119782014,Good
Clinique Abdelmoumen,33.5652215,-7.627531099999999,74.2939966934658,CLINIQUE ABDELMOUMEN,casabus,7,12,69.72069365891845,Good
Avicenne Clinique des Spécialistes,33.55435059999999,-7.610911300000001,362.31301520690886,MOSQUEE TAHA,casabus,3,1,16.48604941169436,Low
Clinique Bournazel,33.5761131,-7.548486500000001,60.37909130562639,Hay Raja,tram,4,4,50.43271377291264,Good
Clinique Zarhoun,33.585036499999994,-7.6142471999999985,225.45455438686446,ANGLE RUE DE FLORENCE,casabus,5,6,41.73764718662984,Moderate
Clinique les princes,33.5878622,-7.6195697,124.17255563640367,JARDIN LIGUE ARABE,casabus,6,7,55.05383529842537,Good
Clinique Hamdani,33.57398669999999,-7.6307733,371.2115728603548,PEPINIERE DERB GHALLEF,casabus,8,9,42.04959949869308,Moderate
Clinique Hermitage,33.5688746,-7.6141718,148.71304515914207,2 Mars,tram,5,10,54.38546505513756,Good
clinique kindi,33.5844776,-7.650757999999999,57.88468835322468,CLINIQUE NORMANDIE,casabus,7,5,60.873206410126045,Good
clinique Elmouahidin,33.588085099999994,-7.5459223,95.6157941754354,ANGLE CHEMIN DES PIVOINES,casabus,3,2,41.468433456880355,Moderate
clinique ain saba3,33.61239739999999,-7.543484900000001,233.22217087386448,ALLEE DES EUCALYBTUS,casabus,4,1,30.783253007641186,Moderate
Clinique Andalouss,33.5968647,-7.6545628,36.036897576179236,CLINIQUE ANDALOUS,casabus,3,1,45.25026909763052,Moderate
Akdital Clinique Ain Berja,33.58539460000001,-7.5964818,145.10443740970345,ANGLE BOULEVARD IFNI,casabus,8,7,59.041832080192066,Good
clinique firdaous,33.6050363,-7.519269200000003,208.20198952418235,Abi Dar El Ghafari,tram,2,7,35.97920658420101,Moderate
Clinique Mutualiste CNOPS,33.592744800000006,-7.6247862,143.77895035641419,CONSULAT D'ESPAGNE,casabus,11,18,84.0851564579984,Excellent
Hospital CNSS,33.610752100000006,-7.500803500000001,99.49342240676236,POLYCLINIQUE CNSS BERNOUSSI,casabus,9,7,65.97952628994105,Good
Clinical Les Fleurs,33.5815871,-7.6220232,189.4501742844849,PALMIER ABDELMOUMEN,casabus,10,11,66.84803663454548,Good
Hopital Moulay Hassan,33.6046028,-7.634031800000001,232.83153864103193,TERMINUS HOPITAL SOFI,casabus,5,7,42.55788688508524,Moderate
Polyclinique Atlas,33.5901639,-7.6287525,246.80344320275663,ARRET CMC,casabus,8,8,51.54672412627431,Good
Clinique Longchamps,33.581767199999994,-7.6608672,176.90044394179282,ROYAL GOLF ANFA 2,casabus,3,1,32.83186096275651,Moderate
Clinique Ghandi,33.579757,-7.6570106,208.46674923941083,ECOLE LA PRAIRIE,casabus,7,10,54.950963636438786,Good
Hôpital Privé International de Casablanca,33.5819777,-7.6403102,63.905391598004286,TERMINUS MAARIF,casabus,7,5,60.34242643133314,Good
Clinique Maghreb,33.58505749999999,-7.6427795,155.43908661900585,TERMINUS MAARIF 2,casabus,11,7,66.8807383648687,Good
Clinique Al Massira,33.5906505,-7.638654200000001,94.6603276139558,LES ARENES,casabus,11,8,73.70952930575729,Good
Clinique Les Iris,33.588337499999994,-7.6364928,222.9054254971984,ANGLE BD ANFA/BDZERKTOUNI,casabus,12,8,65.32021931699207,Good
Akdital oasis,33.56068079999999,-7.629328299999999,156.8554628524932,PEPINIERE OASIS,casabus,11,10,71.16763656984438,Good
Clinique Racine,33.586981399999985,-7.636939600000001,271.46366723970027,BOULEVARD MOHAMED SIJILMASSI,casabus,9,8,52.28936681946139,Good
Clinique Le Parc,33.5636438,-7.6150157,256.35378699888423,LYCEE MOULAY ABDELLAH,casabus,3,6,33.18026429235105,Moderate
Clinique Rachidi,33.59328709999999,-7.628012599999999,212.1213142672267,RUE WASHINGTON,casabus,12,17,79.50623133207209,Excellent
Clinique Orl Beausejour,33.5686395,-7.6434901,133.10838937926525,Ghandi,tram,6,9,57.20723641259732,Good
Clinique Val d'Anfa,33.5898915,-7.653113299999999,419.9154782555286,DRISS SLAOUI,casabus,3,2,12.878454439424564,Low
Clinique Attal,33.55864,-7.637683,131.83783772893312,MAISON DES SOEURS,casabus,7,2,49.94179616427425,Moderate
Clinique Maarif,33.57604619999999,-7.635531300000001,226.98235981035108,PEPINIERE DERB GHALLEF,casabus,13,6,64.93629051826261,Good
Clinique Socrate,33.5788058,-7.647201300000001,291.31223025029897,COMPLEXE MOHAMED V,casabus,1,3,19.853260201096077,Low
Hôpital Privé de Casablanca Aîn Sebaâ,33.6123849,-7.5301441,45.79016750122377,MIMOSAS,casabus,4,2,48.77768417797822,Moderate
Clinique Yasmine,33.575818600000005,-7.6719778,121.37608275316133,Hay Hassani,tram,8,6,59.6631150216264,Good
Centre Hospitalier Universitaire Ibn Rochd,33.57853783736076,-7.620658876855622,290.4864613101231,CENTRE DE L'ADDICTOLOGIE,casabus,13,11,66.69076515736691,Good
Clinique Dar Salam,33.56247495921656,-7.618476445621427,97.65904836148748,CLINIQUE DAR SALAM,casabus,2,6,44.25398821361745,Moderate
Polyclinique CNSS Ziraoui,33.59439337112966,-7.635563271517788,265.73669784269583,MOSQUEE BADR,casabus,11,7,57.156996574907595,Good
Clinic Lina,33.5198390807506,-7.651593535251406,73.87863416429092,COMMISSARIAT SIDI MAAROUF,casabus,6,3,53.605350875104584,Good
Clinique Le Littoral,33.581245921255054,-7.675180503735034,49.84899993986955,Littoral,tram,3,2,45.50319436206794,Moderate
Clinic Guess,33.58104810313267,-7.675443551227193,61.041821863888565,Littoral,tram,3,2,44.516444884153586,Moderate
Clinique Sidi Othmane,33.55981519485563,-7.5615639477505505,119.30075998654115,CLINIQUE SIDI OTHMANE,casabus,9,11,70.11568152079943,Good
Hopital 20 Aout,33.574652934552425,-7.619653458168499,182.05541489201488,HOPITAL 20 AOUT,casabus,9,8,60.17152083961891,Good
Polyclinique de la Sécurité sociale,33.57085276501952,-7.622950527578939,135.14664027071845,LYCEE LAHLOU,casabus,9,9,65.77754598093915,Good
Clinique El Amine,33.57041568223584,-7.620489196179961,275.6962006107807,Hermitage,tram,6,8,43.16623034659335,Moderate
Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan,33.55242937139909,-7.6683673842327,101.13217970503558,HOPITAL CHEIKH KHALIFA,casabus,3,2,40.982113690671405,Moderate
Clinical Abbadi,33.56966106189876,-7.661638730921235,88.84794691231868,CLINIQUE ABBADI,casabus,6,3,52.28566923993485,Good
Clinique CIL,33.569146679299365,-7.660837763378024,29.423127509353613,CLINIQUE ABBADI,casabus,6,4,58.99509803921569,Good
International Clinic,33.56944737439043,-7.618755862439232,83.87442382924212,Hermitage,tram,3,7,49.85648366463492,Moderate
Clinique Riviera,33.56669850001627,-7.638882850027072,168.64993589879668,ANGLE BD STENDAL / GHANDI,casabus,5,6,46.745493109376234,Moderate
Cinique Al Karim Medecine Physique,33.561652609656235,-7.617353722887663,184.4053563012769,CLINIQUE DAR SALAM,casabus,3,6,39.52317557152282,Moderate
Cinique Multidisciplinaire,33.56314485869003,-7.635495524635421,151.51439231638778,ECOLE EL OUADGHIRI,casabus,7,8,57.03065758095014,Good
Clinique Californie,33.546672268691346,-7.6308459270772016,108.29465539149984,BOULEVARD DE LA MECQUE,casabus,4,5,47.679107415755816,Moderate
Hopital Sidi Othmane,33.55854720556028,-7.5730264646667935,106.87760592011018,4EME ARRONDISSEMENT,casabus,11,9,74.10305287657549,Good
Hôpital Sekkat,33.54605773943877,-7.588622488077647,369.55742869745325,TERMINUS JAMILA II,casabus,8,11,45.136603884727336,Moderate
HOPITAL UNIVERSITAIRE DE PROXIMITE,33.54050707960877,-7.597637266137161,111.2612213517545,POLYCLINIQUE CNSS INARA,casabus,6,8,57.662675571591684,Good
Centre de Santé Derb el Kheir,33.5498334343254,-7.591374791701641,90.82407673323885,MOSQUEE YACOUT,casabus,8,7,63.82714162251276,Good
