stop_name,primary_mode,num_lines,latitude,longitude,health_facilities_500m
112 Boulevard D'Anfa,casabus,4,33.5920589,-7.633954600000001,3
112 Boulevard D'Anfa,casabus,4,33.59213689999999,-7.6335241,2
4EME ARRONDISSEMENT,casabus,3,33.55712969999998,-7.572611299999999,2
4EME ARRONDISSEMENT,casabus,3,33.5576585,-7.5734718999999995,2
ABATOIRS MUNICIPAUX,casabus,2,33.549595300000014,-7.549733100000001,0
ABATOIRS MUNICIPAUX,casabus,2,33.5497557,-7.549414,0
ABOUAB AL OULFA,casabus,2,33.545315099999996,-7.706726800000002,0
ABOUAB AL OULFA,casabus,2,33.5457429,-7.7056403,0
ABRAR MEDIOUNA,casabus,2,33.470773850068646,-7.527509700059236,0
ACADEMIE D'EDUCATION,casabus,4,33.56937380000001,-7.667661000000001,1
ACADEMIE D'EDUCATION,casabus,4,33.569796,-7.6679979,1
ACCES PLAGE N13,casabus,1,33.58446339999999,-7.6897968,0
ACCES PLAGE N13,casabus,1,33.58497520000001,-7.689253700000001,0
AEROPORT ANFA,casabus,2,33.5660598,-7.652416900000001,0
AEROPORT TIT MELLIL,casabus,2,33.6026176,-7.467708400000001,0
AEROPORT TIT MELLIL,casabus,2,33.60272869999999,-7.4682084,0
AEROPORT TIT MELLIL 2,casabus,1,33.59511965002129,-7.471304049914195,0
AGENCE BANQUAIRE AZHAR,casabus,1,33.6021263,-7.483252800000001,1
AGENCE BANQUAIRE AZHAR,casabus,1,33.60241049999999,-7.4828351,1
AIN ABBOU,casabus,1,33.5803387500408,-7.376069300026374,0
AIN DIAB,casabus,1,33.591878099999995,-7.676855,0
AIN DIAB,casabus,1,33.591935,-7.676270299999999,0
AIN GUEDDID,casabus,1,33.55205325005287,-7.734409749952729,0
AIN HARROUDA CENTRE,casabus,1,33.63416379999999,-7.4552827000000015,0
AIN HARROUDA CENTRE,casabus,1,33.634218300000015,-7.4558809,0
AL ADARISSA,casabus,3,33.58065705000965,-7.540804699969264,0
AL ARSA MEDIOUNA,casabus,1,33.42977830000001,-7.522487800000001,0
AL ARSA MEDIOUNA,casabus,1,33.42983559999999,-7.522806900000001,0
AL ARSAT BOUSKOURA,casabus,1,33.47924750000789,-7.664317500011236,0
AL AZHARI II,casabus,2,33.548072899999994,-7.6833362,0
AL GHOFRANE,casabus,1,33.521858350009175,-7.525086150043863,0
AL HOUDA,casabus,1,33.5856727,-7.525586400000001,0
