district_name,n_origins,total_pop,mean_travel_time,mean_acc_score,mean_2sfca,pct_unreachable,pct_score_lt20,pct_score_lt50
Ahl Laghlam,1453,264179.5,35.642864,40.595226,3.870717e-06,0.0,0.016517549896765314,0.7997247075017205
Ain Chock,1666,150071.38,28.93558,51.774033,2.0099453e-05,0.0,0.0,0.4309723889555822
Ain Harrouda,3755,188543.16,38.609554,35.746067,4.513633e-06,0.0,0.2189081225033289,0.7752330226364846
Ain Sebaa,3150,311440.4,24.169878,59.71687,1.9409885e-05,0.0,0.0,0.13936507936507936
Al Fida,255,19259.645,23.300793,61.165344,6.031985e-05,0.0,0.0,0.0
Al Idrissia,249,27723.012,21.49043,64.18261,4.1646243e-05,0.0,0.0,0.0
Anfa,2543,73818.45,22.84346,61.92757,5.8383084e-05,0.0,0.0,0.16240660637042864
Assoukhour Assawda,1207,145178.1,23.345564,61.09073,4.140514e-05,0.0,0.0,0.09776304888152444
Ben Msick,479,84406.67,20.409487,65.984184,3.4617322e-05,0.0,0.0,0.0041753653444676405
Bou Chentouf,322,29411.693,18.076239,69.87294,5.813083e-05,0.0,0.0,0.0
Bouskoura,21693,435544.34,60.69226,16.06856,5.515344e-06,0.0,0.6309869543170608,0.93440280274743
El Maarif,1776,137460.06,17.981531,70.030785,7.110659e-05,0.0,0.0,0.0005630630630630631
Hay Hassani,2144,133786.89,22.387146,62.68809,5.2224816e-05,0.0,0.0,0.03451492537313433
Hay Mohammadi,637,91473.88,20.61115,65.64808,3.0455318e-05,0.0,0.0,0.018838304552590265
Lissasfa,1495,98341.3,29.631918,50.61347,1.9587971e-05,0.0,0.05284280936454849,0.41672240802675586
Machouar Casablanca,72,4614.288,22.481575,62.53071,6.742196e-05,0.0,0.0,0.0
Mediouna,6179,258282.75,58.046276,14.695247,1.3080646e-06,0.0,0.6242110373846901,0.9935264605923289
Mers Sultan,286,17214.408,20.22471,66.29215,6.9475085e-05,0.0,0.0,0.0
Moulay Rachid,838,287983.9,25.73945,57.100914,1.8987548e-05,0.0,0.0,0.23627684964200477
Moulay Youssef,503,14125.606,21.861986,63.578697,6.65653e-05,0.0,0.03777335984095427,0.09145129224652088
Nouaceur,1513,25689.986,113.58133,0.0,3.6464928e-10,0.0,1.0,1.0
Salmia,641,23523.477,58.877285,14.917664,1.1159984e-06,0.0,0.6521060842433697,1.0
Sbata,304,31374.654,36.918343,39.982452,8.0818745e-06,0.0,0.03618421052631579,0.7796052631578947
Sidi Belyout,1167,65050.004,20.809542,65.31744,6.9589994e-05,0.0,0.0,0.07883461868037704
Sidi Bernoussi,1996,147840.28,23.411438,60.980938,1.3177904e-05,0.0,0.0,0.13276553106212424
Sidi Maarouf,3188,95380.06,42.851044,28.936546,5.6350477e-06,0.0,0.36511919698870765,0.8510037641154329
Sidi Moumen,1468,502005.66,30.252207,49.57966,1.2090957e-05,0.0,0.0013623978201634877,0.5115803814713896
Sidi Othmane,1004,123411.35,25.05907,58.234886,2.1317357e-05,0.0,0.00597609561752988,0.20916334661354583
Tit Mellil,8290,406388.44,52.299107,21.537184,1.6077097e-06,0.0,0.5323281061519903,0.8775633293124246
