feature,perm_importance_mean,perm_importance_std
num__y,0.19138207043756666,0.0024511437539529225
num__x,0.11089469939523298,0.0024169580593174094
num__population,0.028646389185343263,0.000804910561646688
num__log_population,0.025177872643187466,0.000782184709802352
num__walk_dist_to_stop_m,0.011953041622198471,0.0009761951429393109
num__walk_time_to_stop_min,0.010574528637495556,0.0007833972433448474
num__walk_dist_x_pop,0.0036286019210245296,0.0006787187487847283
num__walk_time_x_center,0.0008093205265029962,0.0002276144413388649
num__dist_to_center_km,-3.5574528637533076e-05,0.00036279043141892016
num__is_periphery,-5.336179295627186e-05,9.242533658318049e-05
