name,lat,lon
112 BOULEVARD D'ANFA,33.5920589,-7.6339546
112 BOULEVARD D'ANFA,33.5921369,-7.6335241
4EME ARRONDISSEMENT,33.5571297,-7.5726113
4EME ARRONDISSEMENT,33.5576585,-7.5734719
ABATOIRS MUNICIPAUX,33.5495953,-7.5497331
ABATOIRS MUNICIPAUX,33.5497557,-7.549414
ABOUAB AL OULFA,33.5453151,-7.7067268
ABOUAB AL OULFA,33.5457429,-7.7056403
ABRAR MEDIOUNA,33.4707323,-7.5276384
ABRAR MEDIOUNA,33.4708154,-7.527381
ACADEMIE D'EDUCATION,33.5693738,-7.667661
ACADEMIE D'EDUCATION,33.569796,-7.6679979
ACCES PLAGE N13,33.5844634,-7.6897968
ACCES PLAGE N13,33.5849752,-7.6892537
AEROPORT ANFA,33.5660598,-7.6524169
AEROPORT TIT MELLIL,33.6026176,-7.4677084
AEROPORT TIT MELLIL,33.6027287,-7.4682084
AEROPORT TIT MELLIL 2,33.5950194,-7.4712287
AEROPORT TIT MELLIL 2,33.5952199,-7.4713794
AGENCE BANQUAIRE AZHAR,33.6021263,-7.4832528
AGENCE BANQUAIRE AZHAR,33.6024105,-7.4828351
AIN ABBOU,33.5803144,-7.3761687
AIN ABBOU,33.5803631,-7.3759699
AIN DIAB,33.5918781,-7.676855
AIN DIAB,33.591935,-7.6762703
AIN GUEDDID,33.5520189,-7.7342943
AIN GUEDDID,33.5520876,-7.7345252
AIN HARROUDA CENTRE,33.6341638,-7.4552827
AIN HARROUDA CENTRE,33.6342183,-7.4558809
AL ADARISSA,33.5806038,-7.5407543
AL ADARISSA,33.5807103,-7.5408551
AL ARSA MEDIOUNA,33.4297783,-7.5224878
AL ARSA MEDIOUNA,33.4298356,-7.5228069
AL ARSAT BOUSKOURA,33.4792246,-7.6643608
AL ARSAT BOUSKOURA,33.4792704,-7.6642742
AL AZHARI II,33.5480729,-7.6833362
AL GHOFRANE,33.5217724,-7.5251291
AL GHOFRANE,33.5219443,-7.5250432
AL HOUDA,33.5856727,-7.5255864
AL HOUDA,33.5860812,-7.525399
AL KHALIL,33.5477112,-7.5987011
AL KHALIL,33.5479076,-7.5988381
AL MADINA LJADIDA1,33.5550768,-7.5332239
AL MADINA LJADIDA1,33.5554624,-7.5330085
AL MASSIRA 1 DEROUA,33.4008646,-7.5343303
AL WATTASSINE,33.5516727,-7.7048607
AL WATTASSINE,33.5520617,-7.703944
ALLEE DES CITRONNIERS,33.6129558,-7.5280558
ALLEE DES CITRONNIERS,33.6130556,-7.5281281
ALLEE DES EUCALYBTUS,33.6105241,-7.5419354
ALLEE DES EUCALYBTUS,33.6109583,-7.541652
ALLEE DES MIMOSAS,33.6057861,-7.5267706
ALLEE DES MIMOSAS,33.6058897,-7.5269722
ALLEE LES JARDINS,33.6188028,-7.540281
ALLEE LES JARDINS,33.6189461,-7.5405108
AMGALA 1,33.6168433,-7.4999219
AMGALA1,33.6169522,-7.5002358
ANAPEC SIDI MOUMEN,33.580747,-7.5435881
ANAPEC SIDI MOUMEN,33.5809189,-7.543477
ANGLE ALLEE DES CYPRES,33.6038011,-7.5468474
ANGLE ALLEE DES CYPRES,33.6039846,-7.5466484
ANGLE AVENUE LAHRAOUIYINE,33.5537148,-7.5767824
ANGLE AVENUE LAHRAOUIYINE,33.553944,-7.5762261
ANGLE AVENUE MEKNES,33.5390181,-7.5930805
ANGLE AVENUE MEKNES,33.5391718,-7.5927794
ANGLE BD ANFA/BDZERKTOUNI,33.5897948,-7.6350217
ANGLE BD ANFA/BDZERKTOUNI,33.5898897,-7.634779
ANGLE BD BALTI BEN MEKKI,33.6033033,-7.5812864
ANGLE BD BALTI BEN MEKKI,33.6034294,-7.5804251
ANGLE BD IFNI,33.5840948,-7.5972978
ANGLE BD STENDAL / GHANDI,33.5660756,-7.6370853
ANGLE BD TAHIRI EL BEKAY,33.6156539,-7.5515081
ANGLE BD TAHIRI EL BEKAY,33.6160091,-7.5517579
ANGLE BOLEVARD STENDAL GHANDI,33.566085,-7.6373607
ANGLE BOULEVARD ABOU REGREG,33.5658222,-7.676654
ANGLE BOULEVARD ABOU REGREG,33.5670387,-7.6768778
ANGLE BOULEVARD AL BINA,33.6250137,-7.5051501
ANGLE BOULEVARD AL BINA,33.62522,-7.5051364
ANGLE BOULEVARD AL HOUCEIMA,33.54975,-7.6166443
ANGLE BOULEVARD AL HOUCEIMA,33.550292,-7.6159074
ANGLE BOULEVARD C AIN SEBAA,33.6227809,-7.5259892
ANGLE BOULEVARD C AIN SEBAA,33.6231018,-7.5264418
ANGLE BOULEVARD IFNI,33.5843543,-7.5974301
ANGLE BOULEVARD MAADAN,33.6339484,-7.5078757
ANGLE BOULEVARD MAADAN,33.6340579,-7.507961
ANGLE BOULEVARD RAMALLAH,33.533309,-7.6135652
ANGLE BOULEVARD RAMALLAH,33.5339624,-7.6127902
ANGLE BOULEVARD TAH/ MOHAMED 6,33.5357259,-7.5768084
ANGLE BOULEVARD TAH/ MOHAMED6,33.5354271,-7.5769471
ANGLE CHEMIN DES PIVOINES,33.588883,-7.5459178
ANGLE CHEMIN DES PIVOINES,33.5889976,-7.5456645
ANGLE MOHAMED 6/11 JANVIER,33.6974298,-7.3659053
ANGLE MOHAMED 6/11 JANVIER,33.6975845,-7.3660932
ANGLE N9 / P3015,33.5109808,-7.4980431
ANGLE N9 / P3015,33.5111074,-7.4976191
ANGLE N9 / P3016,33.5279644,-7.4946249
ANGLE N9 / P3016,33.5281758,-7.4943453
ANGLE OUED DAHAB / AL JOULANE,33.5461329,-7.5642261
ANGLE OUED DAHAB / AL JOULANE,33.546548,-7.564309
ANGLE POMME D'OR,33.5496772,-7.6202126
ANGLE POMME D'OR,33.5497442,-7.6201748
ANGLE ROUTE N1/P3032,33.5090012,-7.7052258
ANGLE ROUTE N1/P3032,33.5091559,-7.705337
ANGLE RUE BEN LARBI,33.5796537,-7.6541056
ANGLE RUE BEN LARBI,33.5799482,-7.6539647
ANGLE RUE DE DAX,33.5997947,-7.5892508
ANGLE RUE DE DAX,33.5998653,-7.5894541
ANGLE RUE DE FLORENCE,33.5835144,-7.6121334
ANGLE RUE DE FLORENCE,33.5836691,-7.6124496
ANGLE RUE DE LA VICTOIRE,33.6013894,-7.5854076
ANGLE RUE DE LA VICTOIRE,33.6014214,-7.5857246
ANGLE RUE ENNAKHIL,33.5533734,-7.6440311
ANGLE RUE ENNAKHIL,33.5537971,-7.6442827
ANGLE RUE MAAMOURA,33.6055398,-7.5753694
ANGLE RUE MAAMOURA,33.6056308,-7.5755087
ANGLE RUE RIF,33.69908,-7.3930102
ANGLE RUE RIF,33.6991315,-7.3928389
ANGLE RUE SOURZAC,33.5982838,-7.5811946
ANGLE RUE SOURZAC,33.598417,-7.5810389
ANGLE RUE TAMASKIN,33.575195,-7.6625465
ANGLE RUE TIZNIT,33.6849187,-7.4027866
ANGLE RUE TIZNIT,33.6850654,-7.4029545
ANNEXE FARAH SALAM,33.5400886,-7.6911385
ANNEXE FARAH SALAM,33.5403764,-7.6910331
AQUAPARC,33.523139,-7.786701
AQUAPARC A,33.5232851,-7.7859922
ARCHIVE I,33.5128886,-7.6560616
ARCHIVE I,33.5129808,-7.6559127
ARRET BATA,33.5851989,-7.5775811
ARRET BATA,33.5854247,-7.5774358
ARRET BEAULIEU,33.6043334,-7.5391144
ARRET BEAULIEU,33.6044819,-7.5391423
ARRET BENJDIA,33.5848494,-7.607089
ARRET BRADAA,33.6999384,-7.3706684
ARRET CARDO,33.4246475,-7.5242319
ARRET CARDO,33.4247354,-7.5244813
ARRET CASCADE 1,33.6434423,-7.408283
ARRET CASCADE 1,33.6435856,-7.4082326
ARRET CHAABI 1,33.3717377,-7.5445776
ARRET CHAABI 1,33.3720414,-7.5446699
ARRET CHTAIBA,33.5653837,-7.5713302
ARRET CMC,33.5877965,-7.6274868
ARRET CMC,33.5891961,-7.6263578
ARRET EL BIR,33.3924805,-7.6021358
ARRET EL BIR,33.3927848,-7.6019622
ARRET HASSAN II,33.5840432,-7.6229782
ARRET ISCAE,33.5267629,-7.6357358
ARRET KM15,33.6323361,-7.4710648
ARRET KM15,33.6323842,-7.4701854
ARRET KOREA,33.562237,-7.5957754
ARRET KOREA,33.562522,-7.5959144
ARRET L'AUBERGE 1,33.6513067,-7.4764008
ARRET LAARJA,33.6597636,-7.4387558
ARRET LAARJA,33.6597905,-7.4385438
ARRET LAMJADBA 1,33.6141716,-7.3607349
ARRET LAMJADBA 1,33.6142742,-7.3608175
ARRET LFARFARA,33.5431753,-7.7105022
ARRET MDAKRA,33.5815778,-7.5625152
ARRET MDAKRA,33.581752,-7.5626418
ARRET METRO,33.5383836,-7.6432085
ARRET PALMERIE 1,33.4864267,-7.6006278
ARRET PALMERIE 1,33.4866656,-7.6005762
ARRET PERLA,33.3924387,-7.5607912
ARRET PERLA,33.3926478,-7.5608886
ARRET RACHAD,33.5664447,-7.6094476
ARRET TADLA,33.6890681,-7.3921067
ARRET TADLA,33.6891901,-7.3917918
ARRET TAJ 1,33.386139,-7.5584008
ARRET TAJ 1,33.3863195,-7.5584764
ARRET TIKIOUIN,33.5780836,-7.5532574
ARRET TIYANA 1,33.4440278,-7.5196488
ARRET TIYANA 1,33.4440931,-7.5197668
ARRONDISSEMENT GHANDI,33.5754049,-7.6518549
ARRONDISSEMENT GHANDI,33.5755971,-7.6517976
ARRONDISSEMENT LAYMOUNE,33.5377127,-7.6685707
ARRONDISSEMENT LAYMOUNE,33.5379741,-7.6680424
ARRONDISSEMENT SALAM II,33.5847692,-7.4801216
ARRONDISSEMENT SALAM II,33.584964,-7.4800219
ASSOCIATION BAYTI,33.6198302,-7.4908789
ASSOCIATION BAYTI,33.6199373,-7.4912112
ATLANTA SPORT,33.5395966,-7.6815078
ATLANTA SPORT,33.5396556,-7.6815601
AUDA ANFA,33.561412,-7.6699889
AUTOROUTE A7,33.4820217,-7.6290212
AUTOROUTE A7,33.4823908,-7.6288971
AV 10 MARS,33.5553673,-7.5571919
AV 10 MARS,33.5556457,-7.5571008
AVENUE 6 NOVEMBRE 1975,33.5517038,-7.5871518
AVENUE 6 NOVEMBRE 1975,33.552,-7.5871501
AVENUE ABOU BAKR EL KADIRI,33.5275316,-7.6494821
AVENUE ABOU BAKR EL KADIRI,33.5276486,-7.6495337
AVENUE DES FAR,33.5968,-7.6131341
AVENUE HACHMI FILALI,33.5243622,-7.6166775
AVENUE HACHMI FILALI,33.5244883,-7.6170041
AVENUE JOUDAR,33.5613308,-7.5256587
AVENUE JOUDAR,33.5614555,-7.5254649
AVENUE MOHAMED BOUZIANE,33.5638023,-7.5566218
AVENUE MOHAMED BOUZIANE,33.5640166,-7.5567719
