name,latitude,longitude,geometry
Clinique Badr,33.594869700000004,-7.6410981,POINT (-7.6410981 33.594869700000004)
Hôpital Sidi Othmane,33.5585424,-7.5733008,POINT (-7.5733008 33.5585424)
Polyclinique CNSS,33.54051499999999,-7.597635100000001,POINT (-7.597635100000001 33.54051499999999)
Clinique Abdelmoumen,33.5652215,-7.627531099999999,POINT (-7.627531099999999 33.5652215)
Avicenne Clinique des Spécialistes,33.55435059999999,-7.610911300000001,POINT (-7.610911300000001 33.55435059999999)
Clinique Bournazel,33.5761131,-7.548486500000001,POINT (-7.548486500000001 33.5761131)
Clinique Zarhoun,33.585036499999994,-7.6142471999999985,POINT (-7.6142471999999985 33.585036499999994)
Clinique les princes,33.5878622,-7.6195697,POINT (-7.6195697 33.5878622)
Clinique Hamdani,33.57398669999999,-7.6307733,POINT (-7.6307733 33.57398669999999)
Clinique Hermitage,33.5688746,-7.6141718,POINT (-7.6141718 33.5688746)
clinique kindi,33.5844776,-7.650757999999999,POINT (-7.650757999999999 33.5844776)
clinique Elmouahidin,33.588085099999994,-7.5459223,POINT (-7.5459223 33.588085099999994)
clinique ain saba3,33.61239739999999,-7.543484900000001,POINT (-7.543484900000001 33.61239739999999)
Clinique Andalouss,33.5968647,-7.6545628,POINT (-7.6545628 33.5968647)
Akdital Clinique Ain Berja,33.58539460000001,-7.5964818,POINT (-7.5964818 33.58539460000001)
clinique firdaous,33.6050363,-7.519269200000003,POINT (-7.519269200000003 33.6050363)
Clinique Mutualiste CNOPS,33.592744800000006,-7.6247862,POINT (-7.6247862 33.592744800000006)
Hospital CNSS,33.610752100000006,-7.500803500000001,POINT (-7.500803500000001 33.610752100000006)
Clinical Les Fleurs,33.5815871,-7.6220232,POINT (-7.6220232 33.5815871)
Hopital Moulay Hassan,33.6046028,-7.634031800000001,POINT (-7.634031800000001 33.6046028)
Polyclinique Atlas,33.5901639,-7.6287525,POINT (-7.6287525 33.5901639)
Clinique Longchamps,33.581767199999994,-7.6608672,POINT (-7.6608672 33.581767199999994)
Clinique Ghandi,33.579757,-7.6570106,POINT (-7.6570106 33.579757)
Hôpital Privé International de Casablanca,33.5819777,-7.6403102,POINT (-7.6403102 33.5819777)
Clinique Maghreb,33.58505749999999,-7.6427795,POINT (-7.6427795 33.58505749999999)
Clinique Al Massira,33.5906505,-7.638654200000001,POINT (-7.638654200000001 33.5906505)
Clinique Les Iris,33.588337499999994,-7.6364928,POINT (-7.6364928 33.588337499999994)
Akdital oasis,33.56068079999999,-7.629328299999999,POINT (-7.629328299999999 33.56068079999999)
Clinique Racine,33.586981399999985,-7.636939600000001,POINT (-7.636939600000001 33.586981399999985)
Clinique Le Parc,33.5636438,-7.6150157,POINT (-7.6150157 33.5636438)
Clinique Rachidi,33.59328709999999,-7.628012599999999,POINT (-7.628012599999999 33.59328709999999)
Clinique Orl Beausejour,33.5686395,-7.6434901,POINT (-7.6434901 33.5686395)
Clinique Val d'Anfa,33.5898915,-7.653113299999999,POINT (-7.653113299999999 33.5898915)
Clinique Attal,33.55864,-7.637683,POINT (-7.637683 33.55864)
Clinique Maarif,33.57604619999999,-7.635531300000001,POINT (-7.635531300000001 33.57604619999999)
Clinique Socrate,33.5788058,-7.647201300000001,POINT (-7.647201300000001 33.5788058)
Hôpital Privé de Casablanca Aîn Sebaâ,33.6123849,-7.5301441,POINT (-7.5301441 33.6123849)
Clinique Yasmine,33.575818600000005,-7.6719778,POINT (-7.6719778 33.575818600000005)
Centre Hospitalier Universitaire Ibn Rochd,33.57853783736076,-7.620658876855622,POINT (-7.620658876855622 33.57853783736076)
Clinique Dar Salam,33.56247495921656,-7.618476445621427,POINT (-7.618476445621427 33.56247495921656)
Polyclinique CNSS Ziraoui,33.59439337112966,-7.635563271517788,POINT (-7.635563271517788 33.59439337112966)
Clinic Lina,33.5198390807506,-7.651593535251406,POINT (-7.651593535251406 33.5198390807506)
Clinique Le Littoral,33.581245921255054,-7.675180503735034,POINT (-7.675180503735034 33.581245921255054)
Clinic Guess,33.58104810313267,-7.675443551227193,POINT (-7.675443551227193 33.58104810313267)
Clinique Sidi Othmane,33.55981519485563,-7.5615639477505505,POINT (-7.5615639477505505 33.55981519485563)
Hopital 20 Aout,33.574652934552425,-7.619653458168499,POINT (-7.619653458168499 33.574652934552425)
Polyclinique de la Sécurité sociale,33.57085276501952,-7.622950527578939,POINT (-7.622950527578939 33.57085276501952)
Clinique El Amine,33.57041568223584,-7.620489196179961,POINT (-7.620489196179961 33.57041568223584)
Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan,33.55242937139909,-7.6683673842327,POINT (-7.6683673842327 33.55242937139909)
Clinical Abbadi,33.56966106189876,-7.661638730921235,POINT (-7.661638730921235 33.56966106189876)
Clinique CIL,33.569146679299365,-7.660837763378024,POINT (-7.660837763378024 33.569146679299365)
International Clinic,33.56944737439043,-7.618755862439232,POINT (-7.618755862439232 33.56944737439043)
Clinique Riviera,33.56669850001627,-7.638882850027072,POINT (-7.638882850027072 33.56669850001627)
Cinique Al Karim Medecine Physique,33.561652609656235,-7.617353722887663,POINT (-7.617353722887663 33.561652609656235)
Cinique Multidisciplinaire,33.56314485869003,-7.635495524635421,POINT (-7.635495524635421 33.56314485869003)
Clinique Californie,33.546672268691346,-7.6308459270772016,POINT (-7.6308459270772016 33.546672268691346)
Hopital Sidi Othmane,33.55854720556028,-7.5730264646667935,POINT (-7.5730264646667935 33.55854720556028)
Hôpital Sekkat,33.54605773943877,-7.588622488077647,POINT (-7.588622488077647 33.54605773943877)
HOPITAL UNIVERSITAIRE DE PROXIMITE,33.54050707960877,-7.597637266137161,POINT (-7.597637266137161 33.54050707960877)
Centre de Santé Derb el Kheir,33.5498334343254,-7.591374791701641,POINT (-7.591374791701641 33.5498334343254)
Polyclinique CNSS Sidi Bernoussi,33.61074841298405,-7.500801741294186,POINT (-7.500801741294186 33.61074841298405)
Clinique Ain Chock,33.54914320176087,-7.602540026227011,POINT (-7.602540026227011 33.54914320176087)
Ajial Hôpital Pédiatrique,33.55210972506478,-7.608269259633504,POINT (-7.608269259633504 33.55210972506478)
Centre Hospitalier Préfectoral de Ben M'Sick,33.55233793198779,-7.577997816932463,POINT (-7.577997816932463 33.55233793198779)
Polyclinique CNSS Hay Hassani,33.56712676339928,-7.668455630399424,POINT (-7.668455630399424 33.56712676339928)
Hôpital Municipal sidi moumen Tacharouk,33.57527123070483,-7.524914619282542,POINT (-7.524914619282542 33.57527123070483)
Clinique Adoha,33.59704415596668,-7.522044369876583,POINT (-7.522044369876583 33.59704415596668)
