name,lat,lon,nearest_hosp_m,nearest_hosp_km,nearest_hosp
112 BOULEVARD D'ANFA,33.5920979,-7.63373935,305.6453178654274,0.30564531786542737,Polyclinique CNSS Ziraoui
4EME ARRONDISSEMENT,33.557394099999996,-7.5730416,127.85804596116859,0.1278580459611686,Hopital Sidi Othmane
ABATOIRS MUNICIPAUX,33.5496755,-7.54957355,1582.0393372564058,1.5820393372564059,Clinique Sidi Othmane
ABOUAB AL OULFA,33.545529,-7.70618355,2262.7172624239574,2.2627172624239575,hopital hassani
ABRAR MEDIOUNA,33.47077385,-7.5275096999999995,10094.105872554423,10.094105872554422,Hôpital Sekkat
ACADEMIE D'EDUCATION,33.569584899999995,-7.667829449999999,278.67408704357086,0.2786740870435709,Polyclinique CNSS Hay Hassani مصحة الضمان الإجتماعي الحي الحسني
ACCES PLAGE N13,33.5847193,-7.68952525,1368.7209885485017,1.3687209885485017,Clinic Guess
AEROPORT ANFA,33.5660598,-7.6524169,853.2523154013415,0.8532523154013415,Clinique CIL
AEROPORT TIT MELLIL,33.60267315,-7.4679584000000006,1490.2525302558327,1.4902525302558327,Hôpital général de Casablanca Azhar-Bernoussi
AEROPORT TIT MELLIL 2,33.59511965,-7.4713040500000005,1218.808124772258,1.218808124772258,Hôpital général de Casablanca Azhar-Bernoussi
AGENCE BANQUAIRE AZHAR,33.6022684,-7.48304395,339.011996025043,0.339011996025043,Hôpital général de Casablanca Azhar-Bernoussi
AIN ABBOU,33.580338749999996,-7.3760693,10185.293450831421,10.185293450831422,Hôpital général de Casablanca Azhar-Bernoussi
AIN DIAB,33.591906550000004,-7.676562649999999,1188.941421950894,1.188941421950894,Clinique Le Littoral
AIN GUEDDID,33.55205325,-7.73440975,4429.19784944762,4.42919784944762,hopital hassani
AIN HARROUDA CENTRE,33.63419105,-7.4555818,4660.854417515704,4.660854417515704,Hôpital général de Casablanca Azhar-Bernoussi
AL ADARISSA,33.58065705,-7.5408047,872.9683621386321,0.872968362138632,Clinique Bournazel
AL ARSA MEDIOUNA,33.42980695,-7.52264735,14113.128543130711,14.113128543130712,HOPITAL UNIVERSITAIRE DE PROXIMITE
AL ARSAT BOUSKOURA,33.4792475,-7.6643175,4653.131821160921,4.653131821160922,Clinic Lina
AL AZHARI II,33.5480729,-7.6833362,1207.6608463121365,1.2076608463121365,hopital hassani
AL GHOFRANE,33.52185835,-7.52508615,5401.980346716777,5.401980346716777,Clinique Sidi Othmane
AL HOUDA,33.58587695,-7.5254927,1177.1364306101786,1.1771364306101786,Hôpital Municipal sidi moumen Tacharouk
AL KHALIL,33.547809400000006,-7.598769600000001,379.9942008595698,0.3799942008595698,Clinique Ain Chock
AL MADINA LJADIDA1,33.5552696,-7.5331162,2301.6034484384936,2.3016034484384935,المركز الصحي المسيرة 2 (المستوى التاني)
