StopName,StopLat,StopLon,NumRoutes
112 BOULEVARD D'ANFA,33.5920589,-7.6339546,4
112 BOULEVARD D'ANFA,33.5921369,-7.6335241,4
4EME ARRONDISSEMENT,33.5571297,-7.5726113,3
4EME ARRONDISSEMENT,33.5576585,-7.5734719,3
ABATOIRS MUNICIPAUX,33.5495953,-7.5497331,2
ABATOIRS MUNICIPAUX,33.5497557,-7.549414,2
ABOUAB AL OULFA,33.5453151,-7.7067268,2
ABOUAB AL OULFA,33.5457429,-7.7056403,2
ABRAR MEDIOUNA,33.4707323,-7.5276384,2
ABRAR MEDIOUNA,33.4708154,-7.527381,2
ACADEMIE D'EDUCATION,33.5693738,-7.667661,4
ACADEMIE D'EDUCATION,33.569796,-7.6679979,4
ACCES PLAGE N13,33.5844634,-7.6897968,1
ACCES PLAGE N13,33.5849752,-7.6892537,1
AEROPORT ANFA,33.5660598,-7.6524169,2
AEROPORT TIT MELLIL,33.6026176,-7.4677084,2
AEROPORT TIT MELLIL,33.6027287,-7.4682084,2
AEROPORT TIT MELLIL 2,33.5950194,-7.4712287,1
AEROPORT TIT MELLIL 2,33.5952199,-7.4713794,1
AGENCE BANQUAIRE AZHAR,33.6021263,-7.4832528,1
AGENCE BANQUAIRE AZHAR,33.6024105,-7.4828351,1
AIN ABBOU,33.5803144,-7.3761687,1
AIN ABBOU,33.5803631,-7.3759699,1
AIN DIAB,33.5918781,-7.676855,1
AIN DIAB,33.591935,-7.6762703,1
AIN GUEDDID,33.5520189,-7.7342943,1
AIN GUEDDID,33.5520876,-7.7345252,1
AIN HARROUDA CENTRE,33.6341638,-7.4552827,1
AIN HARROUDA CENTRE,33.6342183,-7.4558809,1
AL ADARISSA,33.5806038,-7.5407543,3
AL ADARISSA,33.5807103,-7.5408551,3
AL ARSA MEDIOUNA,33.4297783,-7.5224878,1
AL ARSA MEDIOUNA,33.4298356,-7.5228069,1
AL ARSAT BOUSKOURA,33.4792246,-7.6643608,1
AL ARSAT BOUSKOURA,33.4792704,-7.6642742,1
AL AZHARI II,33.5480729,-7.6833362,2
AL GHOFRANE,33.5217724,-7.5251291,1
AL GHOFRANE,33.5219443,-7.5250432,1
AL HOUDA,33.5856727,-7.5255864,1
AL HOUDA,33.5860812,-7.525399,1
AL KHALIL,33.5477112,-7.5987011,1
AL KHALIL,33.5479076,-7.5988381,1
AL MADINA LJADIDA1,33.5550768,-7.5332239,1
AL MADINA LJADIDA1,33.5554624,-7.5330085,1
AL MASSIRA 1 DEROUA,33.4008646,-7.5343303,1
