district,commune,commune_type_encoded,population_worldpop,pop_mean_pixel,pop_max_pixel,area_km2,pop_density_km2
Bouskoura,Bouskoura,0,139484.625,8.7036456383377,86.60220336914062,114.67946723131843,1216.2999041375683
Bouskoura,Dar Bouazza,0,334131.90625,15.886079315837017,91.5708236694336,150.39934019388758,2221.6314634043824
Mediouna,El Majjatia Oulad Taleb,0,60136.66796875,4.586733885191824,113.99588775634766,93.84906966625479,640.7806511306662
Mediouna,Lahraouyine,0,208139.703125,73.93950377442273,457.6697692871094,20.11339442540296,10348.313105326579
Ahl Laghlam,Ahl Laghlam,1,264522.84375,171.87969054580896,679.196533203125,10.990747464580908,24067.775608752614
Ain Chock,Ain Chock,1,150071.390625,90.07886592136855,210.77369689941406,11.916222390207832,12593.872933113546
Ain Harrouda,Ain Harrouda,1,188543.15625,50.21122669773635,128.95843505859375,26.823303998101213,7029.080245421918
Ain Sebaa,Ain Sebaa,1,311440.40625,98.86997023809523,257.7469177246094,22.503783637495467,13839.468565236411
Al Fida,Al Fida,1,19259.64453125,75.52801776960784,93.87918090820312,1.8041857223090536,10674.978907715167
Al Idrissia,Al Idrissia,1,27723.01171875,111.33739646084338,323.3584289550781,1.7933577963887828,15458.717593652971
Anfa,Anfa,1,73818.453125,29.028097965001965,77.1634521484375,18.127300509950672,4072.2253754484086
Assoukhour Assawda,Assoukhour Assawda,1,145178.09375,120.2801108119304,394.0755310058594,8.651499453192015,16780.685768457835
Ben Msick,Ben Msick,1,84406.671875,176.21434629436325,243.0467529296875,3.4209428587213453,24673.511181227066
Bou Chentouf,Bou Chentouf,1,29411.69140625,91.34065654114907,130.66485595703125,2.2929879625030973,12826.797125504
El Maarif,El Maarif,1,137460.0625,77.39868384009009,131.4177703857422,12.75222322179027,10779.301782070133
Hay Hassani,Hay Hassani,1,133786.890625,62.400601970615675,119.31268310546875,15.345164103109727,8718.505043415458
Hay Mohammadi,Hay Mohammadi,1,91473.890625,143.60108418367346,379.1964416503906,4.524222857429399,20218.696891729647
Lissasfa,Lissasfa,1,98341.296875,65.78013168896321,126.82948303222656,10.715684275559127,9177.323103789255
Machouar Casablanca,Machouar Casablanca,1,4614.2880859375,64.08733452690973,70.22750854492188,0.5179744949299108,8908.330682501806
Mediouna,Mediouna,1,10246.19140625,21.390796255219207,69.119384765625,3.43640231102079,2981.6623546636915
Mers Sultan,Mers Sultan,1,17214.40625,60.19023164335665,70.62249755859375,2.029880608956547,8480.501845302619
Moulay Rachid,Moulay Rachid,1,287983.9375,343.65625,541.7398681640625,6.027172230511904,47780.93714364302
Moulay Youssef,Moulay Youssef,1,14125.60546875,28.082714649602387,43.76980209350586,3.5970758166671133,3926.9690684023844
Nouaceur,Nouaceur,1,35058.5625,5.2294991795942725,126.55371856689453,48.05131536173138,729.606718069596
Salmia,Salmia,1,23639.685546875,35.33585283538864,98.42601776123047,4.777271982270716,4948.3650155582445
Sbata,Sbata,1,31374.654296875,103.20609966077302,173.80361938476562,2.1886356595974057,14335.256834226257
Sidi Belyout,Sidi Belyout,1,65050.0,55.74121679520137,146.5008544921875,8.351846034478976,7788.697221123773
Sidi Bernoussi,Sidi Bernoussi,1,147840.28125,74.06827717935872,224.51918029785156,14.305714962246967,10334.351106544
Sidi Maarouf,Sidi Maarouf,1,96203.6171875,28.295181525735295,141.52076721191406,24.2651945202304,3964.675292724031
Sidi Moumen,Sidi Moumen,1,502005.6875,341.9657271798365,797.9208984375,10.500017350891522,47809.9864718201
Sidi Othmane,Sidi Othmane,1,123411.34375,122.91966508964144,344.2416687011719,7.146081977952354,17269.79121296932
Tit Mellil,Tit Mellil,1,30178.900390625,38.104672210385104,98.09516143798828,5.717480470288955,5278.35653264589
Tit Mellil,Echchallalate,0,367061.46875,38.351422918190366,689.361328125,68.42825697235631,5364.17972619536
Tit Mellil,Sidi Hajjaj Ouad Hassar,0,31877.041015625,2.3349722396443746,96.58047485351562,97.6234235653849,326.53066089487044
