name,lat,lon,nearest_bus_m,nearest_bus_km,nearest_bus_name,bus_within_500m,bus_within_1km,bus_within_2km
Clinique Badr مصحة بدر,33.594869700000004,-7.6410981,284.76377328738994,0.28476377328738994,MOSQUEE BADR,4,25,70
Hôpital Sidi Othmane,33.5585424,-7.5733008,129.571112580073,0.12957111258007298,4EME ARRONDISSEMENT,7,20,77
Polyclinique CNSS,33.54051499999999,-7.597635100000001,111.99233689902725,0.11199233689902725,POLYCLINIQUE CNSS INARA,4,15,53
Clinique Abdelmoumen,33.5652215,-7.627531099999999,80.96265369303043,0.08096265369303043,CLINIQUE ABDELMOUMEN,4,19,75
Avicenne ابن سينا,33.55435059999999,-7.610911300000001,362.2540709086885,0.3622540709086885,MOSQUEE TAHA,2,11,55
Clinique Bournazel,33.5761131,-7.548486500000001,85.88736839787607,0.08588736839787607,HAY RAJA,4,13,47
Clinique Zarhoun,33.585036499999994,-7.6142471999999985,242.069803647902,0.242069803647902,ANGLE RUE DE FLORENCE,2,13,76
Clinique les princes مصحة الأمراء,33.5878622,-7.6195697,124.15303936285872,0.12415303936285872,JARDIN LIGUE ARABE,3,20,75
Clinique Hamdani,33.57398669999999,-7.6307733,376.183861718143,0.376183861718143,PEPINIERE DERB GHALLEF,4,24,81
Clinique Hermitage,33.5688746,-7.6141718,218.42002031286643,0.21842002031286642,MOSQUEE EL HODA,2,19,70
clinique kindi,33.5844776,-7.650757999999999,87.56416939961952,0.08756416939961952,CLINIQUE NORMANDIE,7,17,53
clinique Elmouahidin,33.588085099999994,-7.5459223,95.59863270099747,0.09559863270099747,ANGLE CHEMIN DES PIVOINES,2,9,42
clinique ain saba3,33.61239739999999,-7.543484900000001,241.52989585514004,0.24152989585514004,ALLEE DES EUCALYBTUS,2,10,30
Clinique Andalouss مصحة الاندلس,33.5968647,-7.6545628,36.03163291059269,0.03603163291059269,CLINIQUE ANDALOUS,3,10,42
Akdital Clinique Ain Berja,33.58539460000001,-7.5964818,145.08060003529752,0.14508060003529752,ANGLE BOULEVARD IFNI,5,18,50
clinique firdaous,33.6050363,-7.519269200000003,219.5486930702258,0.2195486930702258,CITE DE POLICE (BERNOUSSI),1,10,39
