district,commune,geometry,commune_type_encoded
Bour,Alouidane,"POLYGON ((-7.725948809999977 31.575719833000164, -7.726384162999921 31.575033188000077, -7.742578983999977 31.564401627000166, -7.760630129999981 31.563049317000036, -7.7620420459999195 31.562938691000113, -7.776659010999879 31.566682817000128, -7.783137796999938 31.56834602500004, -7.8015217779999375 31.569637298000032, -7.81178188399997 31.566831589000174, -7.828540801999964 31.564460755000084, -7.847469806999925 31.564823150000166, -7.869112015999974 31.569765091000022, -7.889674186999969 31.573791505000145, -7.890827177999881 31.573488236000173, -7.898925780999946 31.59073066600007, -7.908730984999977 31.614084243000093, -7.914768219999871 31.63884544299998, -7.919204234999938 31.66865539500003, -7.917103766999958 31.687486648000174, -7.911184786999968 31.697156906000032, -7.906518935999884 31.70114135800003, -7.902540206999959 31.704540252000072, -7.889326094999944 31.708742141000187, -7.888111113999969 31.705598831000145, -7.887376783999969 31.703699112000095, -7.875450134999937 31.697801590999973, -7.85278177299989 31.701040267999986, -7.847273826999981 31.69105148200009, -7.846155166999949 31.67774772600012, -7.855319976999965 31.663932801000044, -7.867194175999828 31.654239655000083, -7.86824989299987 31.64275741700004, -7.856324195999889 31.63730621400009, -7.8406457899999396 31.641971588000104, -7.834706783999877 31.645679474000133, -7.8297910679998495 31.642322541000112, -7.826025008999977 31.63975334100013, -7.8178868299999635 31.62739372200008, -7.8038139339999475 31.626087188000156, -7.798934936999956 31.62289428800011, -7.80269908899993 31.612323761000084, -7.796737193999945 31.606386185000133, -7.780502795999951 31.60324668999999, -7.769141195999964 31.598245621000046, -7.754539011999952 31.59740066600017, -7.741539954999894 31.587814332000164, -7.725948809999977 31.575719833000164))",0
Bour,Harbil,"POLYGON ((-8.039326666999898 31.88142013500004, -8.02948665599996 31.865413665000062, -8.018577574999881 31.85308265700013, -8.008177756999942 31.832490921999977, -8.002124785999968 31.811870576000047, -7.998775003999924 31.791236877000188, -8.013343811999903 31.776475907000076, -8.019230842999946 31.759456634999992, -8.026740074999964 31.742889404000152, -8.026680946999875 31.729122161000134, -8.034491537999884 31.694160463000173, -8.047653196999818 31.69687080500006, -8.060684204999916 31.702756881000028, -8.087051390999932 31.707622529000105, -8.087242126999968 31.707653045000143, -8.107874870999979 31.71579170199999, -8.12034130099994 31.715721131000123, -8.131211279999945 31.72162056000019, -8.137708663999945 31.721580505000134, -8.14639568399997 31.724739076000105, -8.153459549999923 31.727449417999992, -8.164345739999874 31.73564338700004, -8.181743622999932 31.740571975000137, -8.184971808999933 31.741479873000117, -8.214492797999924 31.742107392000094, -8.185396193999964 31.808958055000062, -8.18052864099991 31.811742783000057, -8.172437666999883 31.818681718000164, -8.171416281999939 31.82924461300007, -8.17962932599994 31.840206146000128, -8.137612342999944 31.851230621000013, -8.05605697599998 31.875457763000156, -8.039326666999898 31.88142013500004))",0
Bour,M'Nabha,"POLYGON ((-8.19202613699997 32.062728881000055, -8.189724921999925 32.059974669999974, -8.189615248999928 32.05984115600012, -8.182053564999876 32.05129242000015, -8.149443626999926 32.05424499600019, -8.113536833999945 32.04985427800017, -8.089065551999965 32.04816436900006, -8.061880110999937 32.047855377000076, -8.04334068299994 32.036483764000025, -8.03349494899993 32.02323150600006, -8.029636382999968 32.01224136300016, -8.034399032999886 31.98514556800012, -8.03866863299993 31.970447540000066, -8.032608031999928 31.952123643000164, -8.032670019999898 31.951717377000136, -8.03471660599996 31.93788909900013, -8.039566992999937 31.931896210000104, -8.050971029999971 31.932294846000048, -8.055306434999977 31.929510116000074, -8.050778388999959 31.891906739000092, -8.039326666999898 31.88142013500004, -8.05605697599998 31.875457763000156, -8.137612342999944 31.851230621000013, -8.17962932599994 31.840206146000128, -8.178600310999968 31.849853516000053, -8.175952911999957 31.859968185000184, -8.183077812999898 31.870941162000122, -8.186411856999882 31.88331031900009, -8.18756103499993 31.89339828400017, -8.183289527999932 31.90443992600018, -8.18122291599991 31.921894074000136, -8.182365416999914 31.930145264000032, -8.18842220299996 31.9429588320001, -8.19337081999987 31.953029633000142, -8.193981170999905 31.96312141400017, -8.194045066999877 31.972753524999973, -8.188671111999952 31.98197174200004, -8.184385298999928 31.99071693400009, -8.186614035999924 32.00033950800014, -8.19048023199997 32.00902557500018, -8.19545459799997 32.02231216500013, -8.204242706999878 32.035560608000026, -8.206480026999884 32.045642853000174, -8.200019836999957 32.054859162000014, -8.19202613699997 32.062728881000055))",0
Bour,Ouahat Sidi Brahim,"POLYGON ((-7.908250809999913 31.726354599000103, -7.898821830999964 31.723836899000162, -7.893384932999879 31.719274522000035, -7.889326094999944 31.708742141000187, -7.902540206999959 31.704540252000072, -7.906518935999884 31.70114135800003, -7.914394854999898 31.710008621000156, -7.921192168999937 31.712272644000166, -7.9297790529999475 31.710399629000165, -7.936270237999963 31.70285606300007, -7.950616836999927 31.700826645000177, -7.990013122999926 31.70138359100008, -8.003373146999877 31.69855690100013, -8.02503681199994 31.69035720900007, -8.030305861999977 31.693300248000128, -8.034491537999884 31.694160463000173, -8.026680946999875 31.729122161000134, -8.017970085999877 31.720907211000053, -8.002858162999928 31.732923507000066, -7.988788128999886 31.736219405999975, -7.979598997999972 31.741315842000176, -7.972063064999929 31.75237274300008, -7.954736232999892 31.75659179600001, -7.94008398099993 31.751625061000027, -7.92159795799995 31.73244667200015, -7.914000033999912 31.72789001600006, -7.908250809999913 31.726354599000103))",0
Bour,Oulad Dlim,"POLYGON ((-8.329485892999969 31.945907592000026, -8.327527046999933 31.94941329900007, -8.316231726999945 31.964179993000073, -8.304408072999934 31.981239319999986, -8.279020308999975 32.00205612300016, -8.260631561999901 32.01410293499998, -8.247097014999952 32.02245330900007, -8.234085082999911 32.02620315500019, -8.223250387999883 32.03315353500011, -8.217944143999944 32.05108261100014, -8.22294807399993 32.06756973300003, -8.21920204099996 32.07722473100006, -8.202327727999943 32.07503128000019, -8.19202613699997 32.062728881000055, -8.200019836999957 32.054859162000014, -8.206480026999884 32.045642853000174, -8.204242706999878 32.035560608000026, -8.19545459799997 32.02231216500013, -8.19048023199997 32.00902557500018, -8.186614035999924 32.00033950800014, -8.184385298999928 31.99071693400009, -8.188671111999952 31.98197174200004, -8.194045066999877 31.972753524999973, -8.193981170999905 31.96312141400017, -8.19337081999987 31.953029633000142, -8.18842220299996 31.9429588320001, -8.182365416999914 31.930145264000032, -8.18122291599991 31.921894074000136, -8.183289527999932 31.90443992600018, -8.18756103499993 31.89339828400017, -8.186411856999882 31.88331031900009, -8.183077812999898 31.870941162000122, -8.175952911999957 31.859968185000184, -8.178600310999968 31.849853516000053, -8.17962932599994 31.840206146000128, -8.171416281999939 31.82924461300007, -8.172437666999883 31.818681718000164, -8.18052864099991 31.811742783000057, -8.185396193999964 31.808958055000062, -8.214492797999924 31.742107392000094, -8.218043326999975 31.742187501000046, -8.27224540599991 31.742284775000144, -8.299321174999932 31.738433838000105, -8.31024169899996 31.74937820500014, -8.328117369999973 31.74742126400014, -8.345529555999974 31.755104066000058, -8.357341765999877 31.752332689000127, -8.367720604999931 31.749895097000092, -8.387774466999929 31.744754791000048, -8.404024123999875 31.74780273400006, -8.411809920999872 31.770709992000036, -8.423370360999911 31.789913177000074, -8.42237567899997 31.80047226000005, -8.411109923999959 31.815250397, -8.39444255799998 31.833272934000036, -8.376131056999952 31.849008561000062, -8.37191009399993 31.864189148000094, -8.359013556999912 31.880350113000134, -8.34769916499988 31.89052009700015, -8.345646857999895 31.905683517000114, -8.344756126999926 31.909690857000044, -8.34145069199991 31.92453575100012, -8.329485892999969 31.945907592000026))",0
Bour,Oulad Hassoune,"POLYGON ((-7.715641021999943 31.594900132000078, -7.716681957999981 31.590217590000066, -7.725948809999977 31.575719833000164, -7.741539954999894 31.587814332000164, -7.754539011999952 31.59740066600017, -7.769141195999964 31.598245621000046, -7.780502795999951 31.60324668999999, -7.796737193999945 31.606386185000133, -7.80269908899993 31.612323761000084, -7.798934936999956 31.62289428800011, -7.8038139339999475 31.626087188000156, -7.8178868299999635 31.62739372200008, -7.826025008999977 31.63975334100013, -7.8297910679998495 31.642322541000112, -7.834706783999877 31.645679474000133, -7.8406457899999396 31.641971588000104, -7.856324195999889 31.63730621400009, -7.86824989299987 31.64275741700004, -7.867194175999828 31.654239655000083, -7.855319976999965 31.663932801000044, -7.846155166999949 31.67774772600012, -7.847273826999981 31.69105148200009, -7.85278177299989 31.701040267999986, -7.848927019999962 31.701595306000115, -7.80237197799994 31.703193664000025, -7.792612075999955 31.695899964000148, -7.787727831999916 31.692249298000036, -7.777963161999878 31.678068161000056, -7.761711120999962 31.669424056000082, -7.745319842999834 31.66656303500008, -7.730854034999936 31.664045334000036, -7.727101803999972 31.665557862000128, -7.724346159999868 31.65398216300008, -7.7200012209999045 31.638854981000065, -7.71673107099997 31.627399445000094, -7.712397098999929 31.618230820000065, -7.712923048999926 31.60721588100006, -7.715641021999943 31.594900132000078))",0
Loudaya,Agafay,"POLYGON ((-8.149493216999929 31.435356140000124, -8.151739119999945 31.430362701999968, -8.15873241499986 31.425270080000132, -8.166552543999956 31.422649383000135, -8.18947124499988 31.41496277000016, -8.218026160999898 31.404201508000085, -8.232566833999954 31.396751404000042, -8.245472908999943 31.38748359699997, -8.256219862999899 31.376447678000034, -8.257850646999941 31.38141822800003, -8.263820648999967 31.385517120000088, -8.270840644999964 31.38592720200006, -8.276306151999904 31.39415741000016, -8.267753600999981 31.407997131000172, -8.272141455999929 31.41807174800016, -8.280372619999923 31.436386109000182, -8.288003921999916 31.446437834999983, -8.288060187999974 31.453788756999984, -8.282752035999977 31.467145920000178, -8.283851622999919 31.470357896000053, -8.290340423999908 31.4707622520001, -8.301050185999884 31.462945938000132, -8.296448707999957 31.49323082000018, -8.279808044999925 31.510797501000184, -8.27186489099995 31.534275056000183, -8.265426636999905 31.542127609000033, -8.271979330999955 31.55126380900009, -8.281237602999909 31.559474944000158, -8.284546852999881 31.569551469000146, -8.28394889699996 31.570117949999997, -8.279177665999896 31.574642182000105, -8.269837378999966 31.574138641000047, -8.270485878999978 31.569192887000156, -8.261764524999933 31.56098365700018, -8.259069443999977 31.561916351000093, -8.258584022999969 31.570192337000037, -8.252107619999947 31.572532654000156, -8.246438026999954 31.572971344000052, -8.24561214399995 31.573036194000053, -8.237440109999966 31.563442230000135, -8.211710929999981 31.55341529800006, -8.21138954199995 31.551677704000156, -8.209128378999822 31.536533356000177, -8.198205946999906 31.518241882000154, -8.194857596999952 31.50173378100004, -8.185100554999849 31.498580933000085, -8.173295021999934 31.499656678000008, -8.17429256399987 31.49818611200004, -8.173148154999978 31.48763275200008, -8.165004730999954 31.481721878000087, -8.16168880499987 31.47025680600018, -8.159450530999948 31.45648956300016, -8.150746344999959 31.44644737300007, -8.148004531999959 31.438652040000193, -8.149493216999929 31.435356140000124))",0
Loudaya,Ait Imour,"POLYGON ((-8.407328605999908 31.548713685000166, -8.40885925299989 31.550758363000057, -8.407857895999939 31.559951782000155, -8.401412008999955 31.56642150900018, -8.382539749999864 31.574373245000118, -8.368575094999926 31.587333679999972, -8.36868476799998 31.60156631400008, -8.380682944999876 31.613603593000107, -8.353154182999958 31.623264313000107, -8.323771475999934 31.624912263, -8.321190834999925 31.620275498000126, -8.310823440999968 31.610242843000037, -8.295068740999966 31.60162544200017, -8.280383109999889 31.591627121000045, -8.26945686299996 31.577005386000053, -8.269837378999966 31.574138641000047, -8.279177665999896 31.574642182000105, -8.28394889699996 31.570117949999997, -8.284546852999881 31.569551469000146, -8.281237602999909 31.559474944000158, -8.271979330999955 31.55126380900009, -8.265426636999905 31.542127609000033, -8.27186489099995 31.534275056000183, -8.279808044999925 31.510797501000184, -8.296448707999957 31.49323082000018, -8.301050185999884 31.462945938000132, -8.30432796499997 31.460561752000046, -8.31084823499998 31.46603012100013, -8.314195631999894 31.479782105000083, -8.320729255999936 31.486171721999995, -8.336475372999928 31.495704651000153, -8.351147650999962 31.50432205200002, -8.363002776999963 31.5212497710001, -8.364269255999943 31.52305984500009, -8.374586104999935 31.52803993300006, -8.389790533999928 31.53436088500007, -8.400654792999887 31.539789199000154, -8.407328605999908 31.548713685000166))",0
Loudaya,Loudaya,"POLYGON ((-8.371706961999905 31.70206070000006, -8.368955612999969 31.703050614000063, -8.355440139999928 31.706821441000045, -8.35494136899996 31.712331772000084, -8.372366904999978 31.72139167900019, -8.387774466999929 31.744754791000048, -8.367720604999931 31.749895097000092, -8.357341765999877 31.752332689000127, -8.345529555999974 31.755104066000058, -8.328117369999973 31.74742126400014, -8.31024169899996 31.74937820500014, -8.299321174999932 31.738433838000105, -8.27224540599991 31.742284775000144, -8.218043326999975 31.742187501000046, -8.214492797999924 31.742107392000094, -8.184971808999933 31.741479873000117, -8.181743622999932 31.740571975000137, -8.18270301799987 31.725881577000052, -8.183937072999925 31.719587327000113, -8.195686340999885 31.72212600800009, -8.215717314999893 31.719249726000157, -8.228629111999965 31.70446968100015, -8.233407020999948 31.68928909200008, -8.226833342999953 31.679687500000057, -8.221922872999926 31.67329788300009, -8.22241210899989 31.66502380500009, -8.228867530999935 31.65900993300005, -8.229886053999849 31.649818420000088, -8.22117710099991 31.64207840000006, -8.221133230999953 31.635648728000092, -8.222730635999937 31.631502151999996, -8.240585327999952 31.629550933000132, -8.246616362999873 31.631908416000044, -8.249812124999892 31.63315773000005, -8.255208967999863 31.630371094000054, -8.25568962099993 31.621637345000124, -8.248009680999871 31.60699462900004, -8.231166838999968 31.596551896000108, -8.220808028999954 31.586055755000018, -8.215877532999912 31.575990678000096, -8.211710929999981 31.55341529800006, -8.237440109999966 31.563442230000135, -8.24561214399995 31.573036194000053, -8.246438026999954 31.572971344000052, -8.252107619999947 31.572532654000156, -8.258584022999969 31.570192337000037, -8.259069443999977 31.561916351000093, -8.261764524999933 31.56098365700018, -8.270485878999978 31.569192887000156, -8.269837378999966 31.574138641000047, -8.26945686299996 31.577005386000053, -8.280383109999889 31.591627121000045, -8.295068740999966 31.60162544200017, -8.310823440999968 31.610242843000037, -8.321190834999925 31.620275498000126, -8.323771475999934 31.624912263, -8.32832336399997 31.633077621000098, -8.33228206699988 31.654178619000163, -8.339942930999939 31.665605545000062, -8.339999198999976 31.672487260000082, -8.33739757499984 31.685823440000036, -8.341782569999907 31.69267845100012, -8.352111815999876 31.696279527000172, -8.371706961999905 31.70206070000006))",0
Loudaya,Saada,"POLYGON ((-8.083356857999945 31.53206062400011, -8.084181785999931 31.53274726900014, -8.092315674999952 31.53774452300007, -8.113401412999906 31.535318375000088, -8.131240843999933 31.5338306430001, -8.153349876999926 31.52450752300018, -8.165177343999915 31.511566162000065, -8.173295021999934 31.499656678000008, -8.185100554999849 31.498580933000085, -8.194857596999952 31.50173378100004, -8.198205946999906 31.518241882000154, -8.194993973999885 31.524694442000055, -8.178883551999945 31.543626786000175, -8.164905548999911 31.558412552000163, -8.157935141999872 31.569017411000175, -8.158568381999942 31.58370971700009, -8.1656837459999 31.597433090000038, -8.171175957999935 31.61025810400014, -8.173967360999882 31.62585258500019, -8.17460155599997 31.641462326000067, -8.180127144999915 31.658411025000078, -8.18188285899987 31.680438995000145, -8.180357932999925 31.69560432500009, -8.186384200999896 31.707042694000165, -8.183937072999925 31.719587327000113, -8.18270301799987 31.725881577000052, -8.181743622999932 31.740571975000137, -8.164345739999874 31.73564338700004, -8.153459549999923 31.727449417999992, -8.14639568399997 31.724739076000105, -8.137708663999945 31.721580505000134, -8.131211279999945 31.72162056000019, -8.12034130099994 31.715721131000123, -8.107874870999979 31.71579170199999, -8.087242126999968 31.707653045000143, -8.087051390999932 31.707622529000105, -8.089359283999954 31.69800186300006, -8.08824443899988 31.690206528000147, -8.082241057999909 31.682432176000134, -8.065429687999938 31.678398132000098, -8.057280540999955 31.672943116000113, -8.055064201999869 31.661937712999986, -8.05713272099996 31.641263961999982, -8.061375617999943 31.625177383000107, -8.065649032999943 31.612754821000067, -8.063975333999906 31.603576661000034, -8.06827068299998 31.595287322000104, -8.080128668999919 31.586496353000086, -8.080565451999917 31.565828323999995, -8.081026077999923 31.56032180900013, -8.083356857999945 31.53206062400011))",0
