element,id,name,amenity,geometry,point_geom,lon,lat,longitude,latitude
node,2481427727,Hôpital Riad Al Mokha,hospital,POINT (-7.9880222 31.6228327),POINT (-7.9880222 31.6228327),-7.9880222,31.6228327,-7.9880222,31.6228327
node,2916440455,,clinic,POINT (-8.0055756 31.6316981),POINT (-8.0055756 31.6316981),-8.0055756,31.6316981,-8.0055756,31.6316981
node,4361734090,الترويض الطبي,hospital,POINT (-8.0572744 31.6318134),POINT (-8.0572744 31.6318134),-8.0572744,31.6318134,-8.0572744,31.6318134
node,4595268265,,clinic,POINT (-7.9919455 31.6314435),POINT (-7.9919455 31.6314435),-7.9919455,31.6314435,-7.9919455,31.6314435
node,4671702792,مصحة المطار,clinic,POINT (-8.0278849 31.5954941),POINT (-8.0278849 31.5954941),-8.0278849,31.5954941,-8.0278849,31.5954941
node,4828119221,Clinique Oumouma,clinic,POINT (-8.0421509 31.6497404),POINT (-8.0421509 31.6497404),-8.0421509,31.6497404,-8.0421509,31.6497404
node,4828119321,Clinique Grand Atlas,clinic,POINT (-8.0417553 31.6511833),POINT (-8.0417553 31.6511833),-8.0417553,31.6511833,-8.0417553,31.6511833
node,4867950023,Clinique spécialisée Menara المصحة المختصة المنارة,clinic,POINT (-8.0120108 31.6405221),POINT (-8.0120108 31.6405221),-8.0120108,31.6405221,-8.0120108,31.6405221
node,5066644792,Croissant Rouge Maroccaine,hospital,POINT (-7.9848854 31.6205269),POINT (-7.9848854 31.6205269),-7.9848854,31.6205269,-7.9848854,31.6205269
node,5637121083,Infirmary,hospital,POINT (-7.9927378 31.5342243),POINT (-7.9927378 31.5342243),-7.9927378,31.5342243,-7.9927378,31.5342243
node,5664405124,Chirurgie Generale Medecine Nucleaire,clinic,POINT (-8.0482873 31.6495455),POINT (-8.0482873 31.6495455),-8.0482873,31.6495455,-8.0482873,31.6495455
node,8308714643,Mustawsaf Sidi Zouine,clinic,POINT (-8.3481932 31.6672166),POINT (-8.3481932 31.6672166),-8.3481932,31.6672166,-8.3481932,31.6672166
node,12184781801,Hopital charifa,hospital,POINT (-7.9660628 31.6067425),POINT (-7.9660628 31.6067425),-7.9660628,31.6067425,-7.9660628,31.6067425
