latitude,longitude,population_count
31.626964,-7.991999,8916
31.624475,-7.983042,9611
31.626629,-7.984251,12370
31.635514,-7.987372,11247
31.630311,-7.991733,15859
31.626484,-7.98899,13750
31.622936,-7.984631,15359
31.625921,-7.98005,12275
31.632892,-7.987695,11065
31.62481,-7.995078,9156
31.636333,-7.986651,11636
31.634904,-7.985512,16576
31.62622,-7.991747,16039
31.623073,-7.982531,12916
31.636226,-7.980097,13538
31.621093,-7.994827,11747
31.633615,-7.993901,11284
31.621876,-7.990243,7254
31.636913,-8.012438,7226
31.647893,-8.02367,7306
31.635182,-8.015302,11504
31.637491,-8.00832,12708
31.632142,-8.004266,10257
31.646933,-8.010407,8803
31.631316,-8.021552,7023
31.633263,-8.021508,7277
31.642463,-8.006506,11764
31.649307,-8.022187,11949
31.633463,-8.023263,7886
31.643057,-8.023856,7344
31.638578,-8.005263,8735
31.638938,-8.016097,6404
31.65011,-8.002847,11184
31.638566,-8.014345,8066
31.619204,-8.054319,9333
31.624482,-8.052703,8523
31.622923,-8.053817,8797
31.610613,-8.051964,7305
31.614008,-8.046869,8854
31.615576,-8.048227,14296
31.622417,-8.057202,14782
31.609664,-8.048842,10202
31.619297,-8.055336,9084
31.619778,-8.055497,15288
31.619503,-8.059439,9942
31.6248,-8.061711,12470
31.620164,-8.046848,8300
31.61946,-8.06588,12232
31.619272,-8.052168,14223
31.60905,-8.049348,9640
31.613098,-8.067304,11279
31.603531,-8.062547,12516
31.611751,-8.005153,10437
31.605682,-8.004394,10190
31.611579,-7.99914,8711
31.609196,-7.995866,10302
31.612179,-8.004494,5240
31.598903,-8.00235,9047
31.616023,-8.000165,7610
31.607945,-7.989534,9098
31.602703,-7.993367,11844
31.612672,-8.000531,6271
31.606016,-8.005931,5988
31.605731,-7.991496,9872
31.605163,-7.989413,6316
31.601803,-8.003028,8994
31.611995,-8.029147,12613
31.612939,-8.027217,13143
31.611985,-8.027273,7355
31.595695,-8.032009,9678
31.594508,-8.030205,9952
31.600915,-8.022125,10556
31.60486,-8.02413,10663
31.602479,-8.03348,10705
31.59515,-8.036077,8739
31.598799,-8.02169,7268
31.602982,-8.022889,9341
31.610307,-8.034457,7374
31.59971,-8.029497,10477
31.598165,-8.02562,11614
31.607252,-8.020496,6651
31.663269,-8.039606,9450
31.650605,-8.054924,9055
31.662519,-8.053002,9725
31.664207,-8.04224,9063
31.661666,-8.048838,4816
31.655218,-8.041999,5627
31.65131,-8.054333,7479
31.670199,-8.039463,4575
31.656044,-8.040629,5081
31.666077,-8.051352,7163
31.66603,-8.036019,4981
31.666614,-8.03599,9531
31.665577,-8.048045,6380
31.648094,-8.047483,6303
31.627041,-8.012402,6523
31.637455,-8.022768,3494
31.63134,-8.026343,4414
31.634204,-8.022423,4338
31.629731,-8.014235,3138
31.637522,-8.017736,5191
31.635598,-8.027203,6452
31.62912,-8.021107,5049
31.63892,-8.023855,5096
31.640366,-8.024105,5591
31.668132,-7.986588,5686
31.677773,-7.999511,4569
31.685814,-7.995886,5042
31.687941,-7.99409,6382
31.674535,-8.000123,6689
31.676271,-7.977713,8287
31.665977,-7.986083,5238
31.66737,-7.978194,4036
31.676247,-7.994617,6349
31.669202,-7.979686,5694
31.66904,-7.980985,4246
31.681916,-7.994238,7636
31.662383,-7.958559,5120
31.669326,-7.952421,4655
31.661773,-7.962114,5173
31.666988,-7.962118,2960
31.662214,-7.955321,3903
31.660494,-7.954583,2806
31.656271,-7.97506,3382
31.656599,-7.9686,3665
31.681048,-7.969662,4778
31.663469,-7.956481,3110
31.591391,-8.058154,5908
31.589708,-8.051952,9483
31.585044,-8.056368,7606
31.601196,-8.053408,6209
31.59086,-8.053495,7214
31.600096,-8.060569,5185
31.588942,-8.048585,8459
31.585909,-8.060985,4838
31.593217,-8.047162,9646
31.591895,-8.052525,9106
31.599853,-8.042914,5671
31.598742,-8.044832,5730
31.631069,-8.044194,5042
31.632721,-8.060751,8456
31.638627,-8.057938,6199
31.635094,-8.062463,7767
31.627753,-8.055132,7736
31.631846,-8.047509,8590
31.640279,-8.054284,8733
31.632618,-8.042873,7045
31.636892,-8.045369,4450
31.631931,-8.047297,4254
31.644706,-8.053725,6448
