stop_key,x,y,stop_name,cluster_id
MKK_STOP_0000,-7.9893,31.6258,JEMAA EL FNA,0
MKK_STOP_0001,-7.9887,31.6252,JEMAA EL FNA,1
MKK_STOP_0002,-7.9905,31.6232,BAB AGNAOU,2
MKK_STOP_0003,-7.9898,31.6228,BAB AGNAOU,3
MKK_STOP_0004,-7.9927,31.6335,BAB DOUKKALA,4
MKK_STOP_0005,-7.992,31.633,BAB DOUKKALA,5
MKK_STOP_0006,-7.9852,31.6198,BAB KSIBA,6
MKK_STOP_0007,-7.9845,31.6193,BAB KSIBA,7
MKK_STOP_0008,-8.0083,31.64,AVENUE MOHAMMED V,8
MKK_STOP_0009,-8.0077,31.6395,AVENUE MOHAMMED V,9
MKK_STOP_0010,-8.0101,31.638,PLACE DU 16 NOVEMBRE,10
MKK_STOP_0011,-8.0095,31.6375,PLACE DU 16 NOVEMBRE,11
MKK_STOP_0012,-8.0147,31.6405,THEATRE ROYAL,12
MKK_STOP_0013,-8.0141,31.64,THEATRE ROYAL,13
MKK_STOP_0014,-8.0105,31.6259,GARE MARRAKECH,14
MKK_STOP_0015,-8.0099,31.6253,GARE MARRAKECH,15
MKK_STOP_0016,-8.004,31.6418,PLACE DE LA LIBERTE,16
MKK_STOP_0017,-8.0034,31.6413,PLACE DE LA LIBERTE,17
MKK_STOP_0018,-8.0363,31.6068,AEROPORT MENARA,18
MKK_STOP_0019,-8.0357,31.6062,AEROPORT MENARA,19
MKK_STOP_0020,-8.0503,31.618,JARDIN MENARA,20
MKK_STOP_0021,-8.0497,31.6175,JARDIN MENARA,21
MKK_STOP_0022,-8.0381,31.6105,HOTEL IBIS MENARA,22
MKK_STOP_0023,-8.0375,31.61,HOTEL IBIS MENARA,23
MKK_STOP_0024,-8.02,31.632,HIVERNAGE,24
MKK_STOP_0025,-8.0194,31.6315,HIVERNAGE,25
MKK_STOP_0026,-7.963,31.669,PALMERAIE GOLF,26
MKK_STOP_0027,-7.9624,31.6685,PALMERAIE GOLF,27
MKK_STOP_0028,-8.0273,31.605,HAY MASSIRA 1,28
MKK_STOP_0029,-8.0267,31.6045,HAY MASSIRA 1,29
MKK_STOP_0030,-8.031,31.5998,HAY MASSIRA 2,30
MKK_STOP_0031,-8.0304,31.5992,HAY MASSIRA 2,31
MKK_STOP_0032,-8.0265,31.604,PLACE MASSIRA,32
MKK_STOP_0033,-8.0259,31.6035,PLACE MASSIRA,33
MKK_STOP_0034,-8.0448,31.6582,DAOUDIATE,34
MKK_STOP_0035,-8.0442,31.6577,DAOUDIATE,35
MKK_STOP_0036,-8.053,31.6595,MARJANE DAOUDIATE,36
MKK_STOP_0037,-8.0524,31.659,MARJANE DAOUDIATE,37
MKK_STOP_0038,-7.9842,31.6238,PLACE DES FERBLANTIERS,38
MKK_STOP_0039,-7.9836,31.6232,PLACE DES FERBLANTIERS,39
MKK_STOP_0040,-7.9812,31.6388,BAB EL KHEMIS,40
MKK_STOP_0041,-7.9806,31.6383,BAB EL KHEMIS,41
MKK_STOP_0042,-7.9882,31.6315,MOUASSINE,42
MKK_STOP_0043,-7.9876,31.631,MOUASSINE,43
MKK_STOP_0044,-7.9982,31.6065,SIDI YOUSSEF BEN ALI,44
MKK_STOP_0045,-7.9976,31.606,SIDI YOUSSEF BEN ALI,45
MKK_STOP_0046,-8.0068,31.6355,AVENUE ABDELKRIM KHATTABI,46
MKK_STOP_0047,-8.0062,31.635,AVENUE ABDELKRIM KHATTABI,47
MKK_STOP_0048,-7.9875,31.6758,TARGA,48
MKK_STOP_0049,-7.9869,31.6752,TARGA,49
MKK_STOP_0050,-7.999,31.668,CITE MOHAMMADIA,50
MKK_STOP_0051,-7.9984,31.6675,CITE MOHAMMADIA,51
MKK_STOP_0052,-8.0753,31.6528,CHU MOHAMMED VI,52
MKK_STOP_0053,-8.0747,31.6522,CHU MOHAMMED VI,53
MKK_STOP_0054,-8.0785,31.6575,UNIVERSITE CADI AYYAD,54
MKK_STOP_0055,-8.0779,31.657,UNIVERSITE CADI AYYAD,55
MKK_STOP_0056,-7.9845,31.6215,PALAIS EL BADI,56
MKK_STOP_0057,-7.9839,31.621,PALAIS EL BADI,57
MKK_STOP_0058,-7.9837,31.6255,BAHIA PALACE,58
MKK_STOP_0059,-7.9831,31.625,BAHIA PALACE,59
MKK_STOP_0060,-7.9834,31.6278,MELLAH,60
MKK_STOP_0061,-7.9828,31.6273,MELLAH,61
MKK_STOP_0062,-7.989,31.6168,PLACE DOUZE OCTOBRE,62
MKK_STOP_0063,-7.9884,31.6163,PLACE DOUZE OCTOBRE,63
MKK_STOP_0064,-8.0115,31.6225,CITE DE L'AIR,64
MKK_STOP_0065,-8.0109,31.622,CITE DE L'AIR,65
MKK_STOP_0066,-8.0063,31.642,RUE DE YUGOSLAVIE,66
MKK_STOP_0067,-8.0057,31.6415,RUE DE YUGOSLAVIE,67
MKK_STOP_0068,-8.0138,31.643,AVENUE HASSAN II GUELIZ,68
MKK_STOP_0069,-8.0132,31.6425,AVENUE HASSAN II GUELIZ,69
MKK_STOP_0070,-8.0042,31.6393,SYNDICAT D'INITIATIVE,70
MKK_STOP_0071,-8.0036,31.6388,SYNDICAT D'INITIATIVE,71
MKK_STOP_0072,-8.0532,31.6362,CARREFOUR SEMLALIA,72
MKK_STOP_0073,-8.0526,31.6357,CARREFOUR SEMLALIA,73
MKK_STOP_0074,-8.0042,31.6296,HOPITAL IBN TOFAIL,74
MKK_STOP_0075,-8.0036,31.6291,HOPITAL IBN TOFAIL,75
MKK_STOP_0076,-8.0298,31.6425,ECOLE NATIONALE DE COMMERCE,76
MKK_STOP_0077,-8.0292,31.642,ECOLE NATIONALE DE COMMERCE,77
MKK_STOP_0078,-8.0018,31.6355,PLACE YAACOUB EL MANSOUR,78
MKK_STOP_0079,-8.0012,31.635,PLACE YAACOUB EL MANSOUR,79
MKK_STOP_0080,-8.02,31.626,AVENUE DES NATIONS UNIES,80
MKK_STOP_0081,-8.0194,31.6255,AVENUE DES NATIONS UNIES,81
MKK_STOP_0082,-7.9815,31.617,BAB GHMAT,82
MKK_STOP_0083,-7.9809,31.6165,BAB GHMAT,83
MKK_STOP_0084,-7.9875,31.6288,SOUK SEMMARINE,84
MKK_STOP_0085,-7.9869,31.6283,SOUK SEMMARINE,85
MKK_STOP_0086,-7.9858,31.6295,PLACE RAHBA KEDIMA,86
MKK_STOP_0087,-7.9852,31.629,PLACE RAHBA KEDIMA,87
MKK_STOP_0088,-8.0418,31.6095,QUARTIER INDUSTRIAL,88
MKK_STOP_0089,-8.0412,31.609,QUARTIER INDUSTRIAL,89
MKK_STOP_0090,-8.0732,31.6138,HAY AL HASSANI,90
MKK_STOP_0091,-8.0726,31.6133,HAY AL HASSANI,91
MKK_STOP_0092,-7.9958,31.6712,CITE MOHAMMEDIA NORD,92
MKK_STOP_0093,-7.9952,31.6707,CITE MOHAMMEDIA NORD,93
MKK_STOP_0094,-8.0298,31.6055,PLACE AL AMAL,94
MKK_STOP_0095,-8.0292,31.605,PLACE AL AMAL,95
MKK_STOP_0096,-8.0058,31.6388,LYCEE VICTOR HUGO,96
MKK_STOP_0097,-8.0052,31.6383,LYCEE VICTOR HUGO,97
MKK_STOP_0098,-7.982,31.639,SOUK EL KHEMIS,98
MKK_STOP_0099,-7.9814,31.6385,SOUK EL KHEMIS,99
MKK_STOP_0100,-8.0285,31.6188,COMPLEXE SPORTIF,100
MKK_STOP_0101,-8.0279,31.6183,COMPLEXE SPORTIF,101
MKK_STOP_0102,-8.0032,31.6252,FORET DE LA MAMOUNIA,102
MKK_STOP_0103,-8.0026,31.6247,FORET DE LA MAMOUNIA,103
MKK_STOP_0104,-7.9952,31.6208,PLACE BIAD,104
MKK_STOP_0105,-7.9946,31.6203,PLACE BIAD,105
MKK_STOP_0106,-8.0235,31.6382,CITE OLYMPIQUE,106
MKK_STOP_0107,-8.0229,31.6377,CITE OLYMPIQUE,107
MKK_STOP_0108,-8.0095,31.6342,AVENUE 11 JANVIER,108
MKK_STOP_0109,-8.0089,31.6337,AVENUE 11 JANVIER,109
