route_id,vertex_order,x,y
M001,1,-8.0105,31.6259
M001,2,-8.004,31.6296
M001,3,-7.9927,31.6347
M001,4,-7.9893,31.6258
M001,5,-7.9905,31.6232
M001,6,-7.999,31.6068
M002,1,-8.0083,31.64
M002,2,-8.0101,31.638
M002,3,-8.0068,31.635
M002,4,-7.9927,31.6335
M002,5,-7.9834,31.6278
M003,1,-8.0083,31.64
M003,2,-8.004,31.6418
M003,3,-8.0063,31.642
M003,4,-8.0138,31.643
M003,5,-8.0034,31.6413
M004,1,-7.9893,31.6258
M004,2,-7.9837,31.6255
M004,3,-7.9842,31.6238
M004,4,-7.9845,31.6215
M004,5,-7.9905,31.6232
M005,1,-7.9905,31.6232
M005,2,-7.9845,31.6193
M005,3,-7.9982,31.6065
M005,4,-8.0267,31.605
M006,1,-8.0105,31.6259
M006,2,-8.0099,31.6253
M006,3,-8.0115,31.6225
M006,4,-7.989,31.6168
M006,5,-7.9982,31.6065
M007,1,-8.0083,31.64
M007,2,-8.004,31.6418
M007,3,-8.0063,31.642
M007,4,-8.0442,31.6577
M007,5,-8.053,31.659
M008,1,-7.9927,31.6335
M008,2,-7.9882,31.6315
M008,3,-7.9869,31.6295
M008,4,-7.9834,31.6278
M008,5,-7.9812,31.639
M009,1,-8.0147,31.6405
M009,2,-8.0532,31.6362
M009,3,-8.0526,31.6357
M009,4,-8.0298,31.6425
M010,1,-7.9893,31.6258
M010,2,-7.9876,31.6283
M010,3,-7.9882,31.631
M010,4,-8.0012,31.6355
M010,5,-8.0018,31.635
M011,1,-7.9845,31.6193
M011,2,-8.0267,31.6045
M011,3,-8.0304,31.5992
M011,4,-8.0259,31.6035
M012,1,-8.0442,31.6577
M012,2,-8.053,31.6595
M012,3,-8.0524,31.659
M012,4,-8.0526,31.6357
M013,1,-7.9875,31.6758
M013,2,-7.9869,31.6752
M013,3,-7.999,31.668
M013,4,-8.031,31.6712
M014,1,-7.9875,31.6758
M014,2,-7.9952,31.6707
M015,1,-7.963,31.669
M015,2,-7.9624,31.6685
M016,1,-8.0753,31.6528
M016,2,-8.0785,31.6575
M016,3,-8.0732,31.6138
M017,1,-8.0753,31.6528
M017,2,-8.0412,31.609
M017,3,-8.0726,31.6133
M018,1,-8.0115,31.6225
M018,2,-8.02,31.6255
M018,3,-8.0279,31.6183
M018,4,-8.0412,31.609
M019,1,-8.0363,31.6068
M019,2,-8.0381,31.6105
M019,3,-8.0503,31.618
