cluster_id,stop_name,Lines,mode,longitude,latitude
0,JEMAA EL FNA,"['M001', 'M004', 'M010']",['alsamarrakech'],-7.9893,31.6258
1,JEMAA EL FNA,"['M001', 'M004', 'M010']",['alsamarrakech'],-7.9887,31.6252
2,BAB AGNAOU,"['M001', 'M005']",['alsamarrakech'],-7.9905,31.6232
3,BAB AGNAOU,"['M001', 'M005']",['alsamarrakech'],-7.9898,31.6228
4,BAB DOUKKALA,"['M002', 'M008']",['alsamarrakech'],-7.9927,31.6335
5,BAB DOUKKALA,"['M002', 'M008']",['alsamarrakech'],-7.992,31.633
6,BAB KSIBA,"['M005', 'M011']",['alsamarrakech'],-7.9852,31.6198
7,BAB KSIBA,"['M005', 'M011']",['alsamarrakech'],-7.9845,31.6193
8,AVENUE MOHAMMED V,"['M001', 'M002', 'M003', 'M007']",['alsamarrakech'],-8.0083,31.64
9,AVENUE MOHAMMED V,"['M001', 'M002', 'M003', 'M007']",['alsamarrakech'],-8.0077,31.6395
10,PLACE DU 16 NOVEMBRE,"['M003', 'M006']",['alsamarrakech'],-8.0101,31.638
11,PLACE DU 16 NOVEMBRE,"['M003', 'M006']",['alsamarrakech'],-8.0095,31.6375
12,THEATRE ROYAL,"['M002', 'M009']",['alsamarrakech'],-8.0147,31.6405
13,THEATRE ROYAL,"['M002', 'M009']",['alsamarrakech'],-8.0141,31.64
14,GARE MARRAKECH,"['M001', 'M006', 'M010']",['alsamarrakech'],-8.0105,31.6259
15,GARE MARRAKECH,"['M001', 'M006', 'M010']",['alsamarrakech'],-8.0099,31.6253
16,PLACE DE LA LIBERTE,"['M003', 'M007']",['alsamarrakech'],-8.004,31.6418
17,PLACE DE LA LIBERTE,"['M003', 'M007']",['alsamarrakech'],-8.0034,31.6413
18,AEROPORT MENARA,"['M001', 'M019']",['alsamarrakech'],-8.0363,31.6068
19,AEROPORT MENARA,"['M001', 'M019']",['alsamarrakech'],-8.0357,31.6062
20,JARDIN MENARA,['M019'],['alsamarrakech'],-8.0503,31.618
21,JARDIN MENARA,['M019'],['alsamarrakech'],-8.0497,31.6175
22,HOTEL IBIS MENARA,['M019'],['alsamarrakech'],-8.0381,31.6105
23,HOTEL IBIS MENARA,['M019'],['alsamarrakech'],-8.0375,31.61
24,HIVERNAGE,"['M004', 'M009']",['alsamarrakech'],-8.02,31.632
25,HIVERNAGE,"['M004', 'M009']",['alsamarrakech'],-8.0194,31.6315
26,PALMERAIE GOLF,['M015'],['alsamarrakech'],-7.963,31.669
27,PALMERAIE GOLF,['M015'],['alsamarrakech'],-7.9624,31.6685
28,HAY MASSIRA 1,"['M005', 'M011']",['alsamarrakech'],-8.0273,31.605
29,HAY MASSIRA 1,"['M005', 'M011']",['alsamarrakech'],-8.0267,31.6045
30,HAY MASSIRA 2,['M011'],['alsamarrakech'],-8.031,31.5998
31,HAY MASSIRA 2,['M011'],['alsamarrakech'],-8.0304,31.5992
32,PLACE MASSIRA,"['M005', 'M011']",['alsamarrakech'],-8.0265,31.604
33,PLACE MASSIRA,"['M005', 'M011']",['alsamarrakech'],-8.0259,31.6035
34,DAOUDIATE,"['M007', 'M012']",['alsamarrakech'],-8.0448,31.6582
35,DAOUDIATE,"['M007', 'M012']",['alsamarrakech'],-8.0442,31.6577
36,MARJANE DAOUDIATE,['M012'],['alsamarrakech'],-8.053,31.6595
37,MARJANE DAOUDIATE,['M012'],['alsamarrakech'],-8.0524,31.659
38,PLACE DES FERBLANTIERS,"['M004', 'M005']",['alsamarrakech'],-7.9842,31.6238
39,PLACE DES FERBLANTIERS,"['M004', 'M005']",['alsamarrakech'],-7.9836,31.6232
40,BAB EL KHEMIS,['M008'],['alsamarrakech'],-7.9812,31.6388
41,BAB EL KHEMIS,['M008'],['alsamarrakech'],-7.9806,31.6383
42,MOUASSINE,"['M008', 'M010']",['alsamarrakech'],-7.9882,31.6315
43,MOUASSINE,"['M008', 'M010']",['alsamarrakech'],-7.9876,31.631
44,SIDI YOUSSEF BEN ALI,"['M005', 'M006']",['alsamarrakech'],-7.9982,31.6065
45,SIDI YOUSSEF BEN ALI,"['M005', 'M006']",['alsamarrakech'],-7.9976,31.606
46,AVENUE ABDELKRIM KHATTABI,"['M002', 'M003', 'M007']",['alsamarrakech'],-8.0068,31.6355
